split,arm,synthetic_audit,coexisting,cost,pending_cost,technician_hours,engineer_hours,equipment_hours,nominal_hours,complete,correctly_complete,unresolved_count,false_absences,false_positives,missed_faults,missed_coexisting_faults,incorrectly_complete,review_pending,attempts,inconclusive_attempts,mechanism_evidence_complete,battery_attempted,audit_complete
test,ct_first,False,False,1998.5413533834587,741.5187969924812,4.802932330827067,5.0897744360902255,11.66736842105263,34.60112781954887,0.5381954887218046,0.48661654135338345,1.6061654135338346,0.023984962406015036,0.06609022556390977,0.2331578947368421,0.0,0.05157894736842105,0.4618045112781955,3.7393233082706767,0.5362406015037594,0.5381954887218046,0.0,0.0
test,ct_first,False,True,1840.25,918.0,4.25125,4.85,10.9125,30.0225,0.46,0.405,1.995,0.05,0.045,0.62,0.62,0.055,0.54,3.75,0.67,0.46,0.0,0.0
test,ct_first,True,False,1889.0,981.0,4.23,5.115,11.345,29.09,0.425,0.405,1.745,0.01,0.06,0.155,0.0,0.02,0.575,4.455,0.625,0.425,0.455,0.425
test,full,False,False,1998.5413533834587,741.5187969924812,4.802932330827067,5.0897744360902255,11.66736842105263,34.60112781954887,0.5381954887218046,0.48661654135338345,1.6061654135338346,0.023984962406015036,0.06609022556390977,0.2331578947368421,0.0,0.05157894736842105,0.4618045112781955,3.7393233082706767,0.5362406015037594,0.5381954887218046,0.0,0.0
test,full,False,True,1840.25,918.0,4.25125,4.85,10.9125,30.0225,0.46,0.405,1.995,0.05,0.045,0.62,0.62,0.055,0.54,3.75,0.67,0.46,0.0,0.0
test,full,True,False,1889.0,981.0,4.23,5.115,11.345,29.09,0.425,0.405,1.745,0.01,0.06,0.155,0.0,0.02,0.575,4.455,0.625,0.425,0.455,0.425
test,inspection,False,False,1998.5413533834587,741.5187969924812,4.802932330827067,5.0897744360902255,11.66736842105263,34.60112781954887,0.5381954887218046,0.48661654135338345,1.6061654135338346,0.023984962406015036,0.06609022556390977,0.2331578947368421,0.0,0.05157894736842105,0.4618045112781955,3.7393233082706767,0.5362406015037594,0.5381954887218046,0.0,0.0
test,inspection,False,True,1840.25,918.0,4.25125,4.85,10.9125,30.0225,0.46,0.405,1.995,0.05,0.045,0.62,0.62,0.055,0.54,3.75,0.67,0.46,0.0,0.0
test,inspection,True,False,1889.0,981.0,4.23,5.115,11.345,29.09,0.425,0.405,1.745,0.01,0.06,0.155,0.0,0.02,0.575,4.455,0.625,0.425,0.455,0.425
test,manufacturing,False,False,1998.5413533834587,741.5187969924812,4.802932330827067,5.0897744360902255,11.66736842105263,34.60112781954887,0.5381954887218046,0.48661654135338345,1.6061654135338346,0.023984962406015036,0.06609022556390977,0.2331578947368421,0.0,0.05157894736842105,0.4618045112781955,3.7393233082706767,0.5362406015037594,0.5381954887218046,0.0,0.0
test,manufacturing,False,True,1840.25,918.0,4.25125,4.85,10.9125,30.0225,0.46,0.405,1.995,0.05,0.045,0.62,0.62,0.055,0.54,3.75,0.67,0.46,0.0,0.0
test,manufacturing,True,False,1889.0,981.0,4.23,5.115,11.345,29.09,0.425,0.405,1.745,0.01,0.06,0.155,0.0,0.02,0.575,4.455,0.625,0.425,0.455,0.425
test,mock,False,False,1999.4887218045112,741.7894736842105,4.8050751879699245,5.092368421052631,11.67515037593985,34.603045112781956,0.5380451127819549,0.4864661654135338,1.6066165413533835,0.023984962406015036,0.06609022556390977,0.23330827067669174,0.0,0.05157894736842105,0.4619548872180451,3.745263157894737,0.5375939849624061,0.5380451127819549,0.0,0.0
test,mock,False,True,1840.25,918.0,4.25125,4.85,10.9125,30.0225,0.46,0.405,1.995,0.05,0.045,0.62,0.62,0.055,0.54,3.75,0.67,0.46,0.0,0.0
test,mock,True,False,1889.0,981.0,4.23,5.115,11.345,29.09,0.425,0.405,1.745,0.01,0.06,0.155,0.0,0.02,0.575,4.455,0.625,0.425,0.455,0.425
test,prevalence,False,False,1998.5413533834587,741.5187969924812,4.802932330827067,5.0897744360902255,11.66736842105263,34.60112781954887,0.5381954887218046,0.48661654135338345,1.6061654135338346,0.023984962406015036,0.06609022556390977,0.2331578947368421,0.0,0.05157894736842105,0.4618045112781955,3.7393233082706767,0.5362406015037594,0.5381954887218046,0.0,0.0
test,prevalence,False,True,1840.25,918.0,4.25125,4.85,10.9125,30.0225,0.46,0.405,1.995,0.05,0.045,0.62,0.62,0.055,0.54,3.75,0.67,0.46,0.0,0.0
test,prevalence,True,False,1889.0,981.0,4.23,5.115,11.345,29.09,0.425,0.405,1.745,0.01,0.06,0.155,0.0,0.02,0.575,4.455,0.625,0.425,0.455,0.425
train,ct_first,False,False,1988.0305280528053,750.8910891089109,4.768997524752475,5.0711551155115515,11.612120462046205,34.34281353135314,0.537920792079208,0.4836138613861386,1.6157095709570957,0.023894389438943894,0.06699669966996699,0.21760726072607262,0.0,0.05430693069306931,0.4620792079207921,3.7281188118811883,0.5371287128712872,0.537920792079208,0.0,0.0
train,ct_first,False,True,1991.84375,723.375,4.80203125,5.0571875,11.5725,34.899375,0.541875,0.48375,1.566875,0.044375,0.065,0.45375,0.45375,0.058125,0.458125,3.62375,0.511875,0.541875,0.0,0.0
train,ct_first,True,False,1796.0,1074.0,3.92,4.96,10.88,26.61,0.3606666666666667,0.33266666666666667,1.9606666666666666,0.025666666666666667,0.049666666666666665,0.22566666666666665,0.0,0.028,0.6393333333333333,4.403333333333333,0.7796666666666666,0.36633333333333334,0.4033333333333333,0.3606666666666667
train,ct_first,True,True,1952.0,918.0,4.44,5.22,11.66,30.77,0.35,0.34,1.63,0.03,0.06,0.17,0.17,0.01,0.65,4.49,0.75,0.45,0.49,0.35
train,full,False,False,1988.0305280528053,750.8910891089109,4.768997524752475,5.0711551155115515,11.612120462046205,34.34281353135314,0.537920792079208,0.4836138613861386,1.6157095709570957,0.023894389438943894,0.06699669966996699,0.21760726072607262,0.0,0.05430693069306931,0.4620792079207921,3.7281188118811883,0.5371287128712872,0.537920792079208,0.0,0.0
train,full,False,True,1991.84375,723.375,4.80203125,5.0571875,11.5725,34.899375,0.541875,0.48375,1.566875,0.044375,0.065,0.45375,0.45375,0.058125,0.458125,3.62375,0.511875,0.541875,0.0,0.0
train,full,True,False,1796.0,1074.0,3.92,4.96,10.88,26.61,0.3606666666666667,0.33266666666666667,1.9606666666666666,0.025666666666666667,0.049666666666666665,0.22566666666666665,0.0,0.028,0.6393333333333333,4.403333333333333,0.7796666666666666,0.36633333333333334,0.4033333333333333,0.3606666666666667
train,full,True,True,1952.0,918.0,4.44,5.22,11.66,30.77,0.35,0.34,1.63,0.03,0.06,0.17,0.17,0.01,0.65,4.49,0.75,0.45,0.49,0.35
train,inspection,False,False,1988.0305280528053,750.8910891089109,4.768997524752475,5.0711551155115515,11.612120462046205,34.34281353135314,0.537920792079208,0.4836138613861386,1.6157095709570957,0.023894389438943894,0.06699669966996699,0.21760726072607262,0.0,0.05430693069306931,0.4620792079207921,3.7281188118811883,0.5371287128712872,0.537920792079208,0.0,0.0
train,inspection,False,True,1991.84375,723.375,4.80203125,5.0571875,11.5725,34.899375,0.541875,0.48375,1.566875,0.044375,0.065,0.45375,0.45375,0.058125,0.458125,3.62375,0.511875,0.541875,0.0,0.0
train,inspection,True,False,1796.0,1074.0,3.92,4.96,10.88,26.61,0.3606666666666667,0.33266666666666667,1.9606666666666666,0.025666666666666667,0.049666666666666665,0.22566666666666665,0.0,0.028,0.6393333333333333,4.403333333333333,0.7796666666666666,0.36633333333333334,0.4033333333333333,0.3606666666666667
train,inspection,True,True,1952.0,918.0,4.44,5.22,11.66,30.77,0.35,0.34,1.63,0.03,0.06,0.17,0.17,0.01,0.65,4.49,0.75,0.45,0.49,0.35
train,manufacturing,False,False,1988.0305280528053,750.8910891089109,4.768997524752475,5.0711551155115515,11.612120462046205,34.34281353135314,0.537920792079208,0.4836138613861386,1.6157095709570957,0.023894389438943894,0.06699669966996699,0.21760726072607262,0.0,0.05430693069306931,0.4620792079207921,3.7281188118811883,0.5371287128712872,0.537920792079208,0.0,0.0
train,manufacturing,False,True,1991.84375,723.375,4.80203125,5.0571875,11.5725,34.899375,0.541875,0.48375,1.566875,0.044375,0.065,0.45375,0.45375,0.058125,0.458125,3.62375,0.511875,0.541875,0.0,0.0
train,manufacturing,True,False,1796.0,1074.0,3.92,4.96,10.88,26.61,0.3606666666666667,0.33266666666666667,1.9606666666666666,0.025666666666666667,0.049666666666666665,0.22566666666666665,0.0,0.028,0.6393333333333333,4.403333333333333,0.7796666666666666,0.36633333333333334,0.4033333333333333,0.3606666666666667
train,manufacturing,True,True,1952.0,918.0,4.44,5.22,11.66,30.77,0.35,0.34,1.63,0.03,0.06,0.17,0.17,0.01,0.65,4.49,0.75,0.45,0.49,0.35
