split,variant,mechanism,n_cases,n_total_cases,n_scored_cases,positives,negatives,average_precision,binary_log_loss,brier_score,evidence_role
test,full,dram_electrical,137,137,137,18,119,0.9970760233918129,0.06498935396387506,0.013419368154194148,retrospective
test,full,tsv_open_short,137,137,137,18,119,0.6273310162029405,0.21291912576264843,0.07237049921423351,retrospective
test,full,microbump_open_bridge,137,137,137,24,113,0.6173355618237851,0.2229138235876107,0.07851087247140488,retrospective
test,full,die_crack,137,137,137,6,131,0.10213821281565544,0.16902575604985298,0.04192517116380615,retrospective
test,full,warpage,137,137,137,35,102,0.6211177301502814,0.4033774590875101,0.13956829276232877,retrospective
test,full,underfill_void,137,137,137,24,113,0.28088512955568906,0.3968351386094378,0.13788533127552327,retrospective
test,full,delamination,137,137,137,14,123,0.2322084006975292,0.2845787754430151,0.08620814906023345,retrospective
test,full,macro,137,137,137,139,820,0.49687029637681335,0.2506627760719929,0.08141252630024631,retrospective
test,full,micro,137,137,137,139,820,0.6164319037953818,0.2506627760719929,0.0814125263002463,retrospective
test,inspection,dram_electrical,137,137,137,18,119,1.0,0.014666431996040357,0.0013412318143411768,retrospective
test,inspection,tsv_open_short,137,137,137,18,119,0.5816215272800577,0.19929505930766034,0.06959485848412766,retrospective
test,inspection,microbump_open_bridge,137,137,137,24,113,0.7047714689947518,0.20556676897209694,0.07253697176395787,retrospective
test,inspection,die_crack,137,137,137,6,131,0.11801507671072889,0.14884601337636752,0.04010849641067841,retrospective
test,inspection,warpage,137,137,137,35,102,0.6293345312950026,0.3867427956744511,0.1358680086323631,retrospective
test,inspection,underfill_void,137,137,137,24,113,0.31075452311946233,0.3822195052313804,0.1326103569880415,retrospective
test,inspection,delamination,137,137,137,14,123,0.18382001568793147,0.2814618106833549,0.08655082767985123,retrospective
test,inspection,macro,137,137,137,139,820,0.5040453061554192,0.23125691217733593,0.07694439311048014,retrospective
test,inspection,micro,137,137,137,139,820,0.6553493510352499,0.23125691217733593,0.07694439311048012,retrospective
test,manufacturing,dram_electrical,137,137,137,18,119,0.16133881215884066,0.3979778316667953,0.11561946244128417,retrospective
test,manufacturing,tsv_open_short,137,137,137,18,119,0.17870862988232625,0.3990101481348593,0.11625163316977107,retrospective
test,manufacturing,microbump_open_bridge,137,137,137,24,113,0.2449424269944533,0.46410266506911835,0.14444717372057927,retrospective
test,manufacturing,die_crack,137,137,137,6,131,0.04301330860982891,0.1961135992690102,0.043763977084443045,retrospective
test,manufacturing,warpage,137,137,137,35,102,0.38374286035516225,0.5681183474298527,0.1905605479771298,retrospective
