split,variant,mechanism,metric,low,high,valid_bootstrap_samples,lot_count
validation,prevalence,dram_electrical,average_precision,0.0935175588342885,0.256,1000,34
validation,prevalence,tsv_open_short,average_precision,0.055923407301360056,0.18033095032663626,1000,34
validation,prevalence,microbump_open_bridge,average_precision,0.08333333333333333,0.22689224626020618,1000,34
validation,prevalence,die_crack,average_precision,0.014474507350641227,0.07377049180327869,994,34
validation,prevalence,warpage,average_precision,0.15452797202797203,0.2960324324324324,1000,34
validation,prevalence,underfill_void,average_precision,0.12877919099249374,0.2926829268292683,1000,34
validation,prevalence,delamination,average_precision,0.058811274509803925,0.1746130952380952,1000,34
validation,prevalence,macro,average_precision,0.14285714285714285,0.14885954381752703,994,34
validation,prevalence,dram_electrical,binary_log_loss,0.3108398849488659,0.692216948414166,1000,34
validation,prevalence,tsv_open_short,binary_log_loss,0.2370977008936541,0.4892853418495102,1000,34
validation,prevalence,microbump_open_bridge,binary_log_loss,0.3039988803617565,0.5599435616917967,1000,34
validation,prevalence,die_crack,binary_log_loss,0.08323314215422398,0.2663158985599243,1000,34
validation,prevalence,warpage,binary_log_loss,0.4755610865083133,0.6079621419950989,1000,34
validation,prevalence,underfill_void,binary_log_loss,0.4222079327024118,0.6121287672326096,1000,34
validation,prevalence,delamination,binary_log_loss,0.2365332695167013,0.4857508475636544,1000,34
validation,prevalence,macro,binary_log_loss,0.3896626379725081,0.42369669478753,1000,34
validation,prevalence,dram_electrical,brier_score,0.0848108145705837,0.21892725528776366,1000,34
validation,prevalence,tsv_open_short,brier_score,0.05645169419234079,0.1519006667124991,1000,34
validation,prevalence,microbump_open_bridge,brier_score,0.080063389844023,0.1822914059404945,1000,34
validation,prevalence,die_crack,brier_score,0.01134537893234793,0.06867586799697313,1000,34
validation,prevalence,warpage,brier_score,0.14684124451938338,0.2086004653697221,1000,34
validation,prevalence,underfill_void,brier_score,0.1243211301728424,0.20991251443063735,1000,34
validation,prevalence,delamination,brier_score,0.05740672707608028,0.14909055757612102,1000,34
validation,prevalence,macro,brier_score,0.117570084521675,0.1276929081740662,1000,34
validation,inspection,dram_electrical,average_precision,1.0,1.0,1000,34
validation,inspection,tsv_open_short,average_precision,0.3944337186484514,0.8989134517099927,1000,34
validation,inspection,microbump_open_bridge,average_precision,0.5695041791364396,0.9247964081665223,1000,34
validation,inspection,die_crack,average_precision,0.03225806451612903,0.30466992650954877,994,34
validation,inspection,warpage,average_precision,0.4382184789352887,0.7676022846765848,1000,34
validation,inspection,underfill_void,average_precision,0.39360328243519743,0.7921322436879531,1000,34
validation,inspection,delamination,average_precision,0.15874962117658817,0.4808912072415428,1000,34
validation,inspection,macro,average_precision,0.512518943344276,0.6710846097348854,994,34
validation,inspection,dram_electrical,binary_log_loss,0.009723315539194286,0.05555944352600654,1000,34
validation,inspection,tsv_open_short,binary_log_loss,0.11067901765227335,0.21647708993947354,1000,34
validation,inspection,microbump_open_bridge,binary_log_loss,0.11498762312622475,0.2202482307928053,1000,34
validation,inspection,die_crack,binary_log_loss,0.07547788177463073,0.2500250583174816,1000,34
validation,inspection,warpage,binary_log_loss,0.29225790762089876,0.4380472212643465,1000,34
validation,inspection,underfill_void,binary_log_loss,0.2636136693044918,0.4106296372561105,1000,34
validation,inspection,delamination,binary_log_loss,0.19301621625408444,0.4006828499959387,1000,34
validation,inspection,macro,binary_log_loss,0.18150461649043073,0.24365985046559407,1000,34
validation,inspection,dram_electrical,brier_score,0.00044240660451838924,0.017820107260572562,1000,34
validation,inspection,tsv_open_short,brier_score,0.03638134093915881,0.0767428164647128,1000,34
validation,inspection,microbump_open_bridge,brier_score,0.03907222783369954,0.07853914303716072,1000,34
validation,inspection,die_crack,brier_score,0.012837597673641588,0.06676433456107596,1000,34
validation,inspection,warpage,brier_score,0.09718778799477269,0.15570366184071333,1000,34
validation,inspection,underfill_void,brier_score,0.08555658610241872,0.144004074149492,1000,34
validation,inspection,delamination,brier_score,0.05430881858507224,0.13432123337993393,1000,34
validation,inspection,macro,brier_score,0.0580280156245365,0.08026826876370856,1000,34
validation,full,dram_electrical,average_precision,0.9663746180290299,1.0,1000,34
validation,full,tsv_open_short,average_precision,0.45337213753179284,0.8857393867869308,1000,34
validation,full,microbump_open_bridge,average_precision,0.4600898789413227,0.8779572338810018,1000,34
validation,full,die_crack,average_precision,0.023349658746208292,0.14210497030095162,994,34
validation,full,warpage,average_precision,0.40317080536555705,0.7183670004439604,1000,34
validation,full,underfill_void,average_precision,0.2637153306555007,0.6697801593427034,1000,34
validation,full,delamination,average_precision,0.08686406240861295,0.33784889831382076,1000,34
validation,full,macro,average_precision,0.47397681202520525,0.5832872312711305,994,34
validation,full,dram_electrical,binary_log_loss,0.05643533693939748,0.12931292973672387,1000,34
validation,full,tsv_open_short,binary_log_loss,0.12488108294296037,0.22800794388979498,1000,34
validation,full,microbump_open_bridge,binary_log_loss,0.13313702612272976,0.2515858045433276,1000,34
validation,full,die_crack,binary_log_loss,0.08319430330246647,0.29517279297719073,1000,34
validation,full,warpage,binary_log_loss,0.3055988370204703,0.47167603081046944,1000,34
validation,full,underfill_void,binary_log_loss,0.3127767047407714,0.49090334442058603,1000,34
validation,full,delamination,binary_log_loss,0.2279363101534812,0.48070630410383863,1000,34
validation,full,macro,binary_log_loss,0.21544799451455515,0.2831456056839934,1000,34
validation,full,dram_electrical,brier_score,0.010035203206963642,0.036830916307079895,1000,34
validation,full,tsv_open_short,brier_score,0.03825185655414386,0.07813246556059036,1000,34
validation,full,microbump_open_bridge,brier_score,0.043718419192497415,0.08830169535852048,1000,34
validation,full,die_crack,brier_score,0.013358358837765077,0.07125753538549205,1000,34
validation,full,warpage,brier_score,0.09903987527808346,0.16693702013060216,1000,34
validation,full,underfill_void,brier_score,0.10457228958086684,0.1740642563850072,1000,34
validation,full,delamination,brier_score,0.06177739264658419,0.15071417771295748,1000,34
validation,full,macro,brier_score,0.06690967701887673,0.09085464700278872,1000,34
validation,manufacturing,dram_electrical,average_precision,0.08854977311045753,0.30079913647910206,1000,34
validation,manufacturing,tsv_open_short,average_precision,0.08829088369916402,0.43513067159070296,1000,34
validation,manufacturing,microbump_open_bridge,average_precision,0.08003759740970424,0.23079240195434345,1000,34
validation,manufacturing,die_crack,average_precision,0.015456292387966454,0.0787100858748917,994,34
validation,manufacturing,warpage,average_precision,0.22210177219676427,0.416978170970813,1000,34
validation,manufacturing,underfill_void,average_precision,0.13793921365883915,0.5027664657989754,1000,34
validation,manufacturing,delamination,average_precision,0.049463500136233726,0.16888558162221828,1000,34
validation,manufacturing,macro,average_precision,0.15846356254891483,0.23287373285494262,994,34
validation,manufacturing,dram_electrical,binary_log_loss,0.333006098635607,0.7180630862908167,1000,34
validation,manufacturing,tsv_open_short,binary_log_loss,0.22535120219667237,0.4744747155723676,1000,34
validation,manufacturing,microbump_open_bridge,binary_log_loss,0.301964702784949,0.625327570813738,1000,34
validation,manufacturing,die_crack,binary_log_loss,0.09296224874895702,0.3192529935300181,1000,34
validation,manufacturing,warpage,binary_log_loss,0.4567467628427585,0.6315597576441807,1000,34
validation,manufacturing,underfill_void,binary_log_loss,0.42475788335680414,0.6329171569207647,1000,34
validation,manufacturing,delamination,binary_log_loss,0.2715218446426265,0.5851473596266212,1000,34
validation,manufacturing,macro,binary_log_loss,0.4022440877401917,0.4511921002672765,1000,34
validation,manufacturing,dram_electrical,brier_score,0.08872321906236354,0.22105451524092795,1000,34
validation,manufacturing,tsv_open_short,brier_score,0.05624873219618248,0.1467323508757243,1000,34
validation,manufacturing,microbump_open_bridge,brier_score,0.08210678726837735,0.19460494282684965,1000,34
validation,manufacturing,die_crack,brier_score,0.012427280152589513,0.07245698052841931,1000,34
validation,manufacturing,warpage,brier_score,0.14370462234346965,0.21737349663127772,1000,34
validation,manufacturing,underfill_void,brier_score,0.12845569784413674,0.2136151303070633,1000,34
validation,manufacturing,delamination,brier_score,0.0663921644184681,0.16374485553032816,1000,34
validation,manufacturing,macro,brier_score,0.11919537126457942,0.13336992001821937,1000,34
test,prevalence,dram_electrical,average_precision,0.07338445054577111,0.19513520678685048,1000,36
test,prevalence,tsv_open_short,average_precision,0.07970854174682569,0.18181818181818182,1000,36
test,prevalence,microbump_open_bridge,average_precision,0.1093717174369748,0.23611384514435693,1000,36
test,prevalence,die_crack,average_precision,0.015384615384615385,0.08029522940563086,999,36
test,prevalence,warpage,average_precision,0.17354558469447517,0.3374409674714216,1000,36
test,prevalence,underfill_void,average_precision,0.12497957516339869,0.23881872687842837,1000,36
