scenario,split,arm,first_choice_differs,sequence_differs
base,test,ct_first,0.40875912408759124,0.43489051094890513
base,test,full,0.11678832116788321,0.1943065693430657
base,test,inspection,0.10948905109489052,0.1824087591240876
base,test,manufacturing,0.40875912408759124,0.57007299270073
base,test,mock,0.0,0.0
base,test,prevalence,0.40875912408759124,0.43489051094890513
base,train,ct_first,0.3093415007656968,0.35376722817764167
base,train,full,0.10872894333843798,0.17186830015313936
base,train,inspection,0.10872894333843798,0.16508422664624808
base,train,manufacturing,0.3093415007656968,0.4624196018376723
base,train,mock,0.0,0.0
base,train,prevalence,0.3093415007656968,0.35376722817764167
base,validation,ct_first,0.3888888888888889,0.43166666666666664
base,validation,full,0.11904761904761904,0.21452380952380953
base,validation,inspection,0.14285714285714285,0.21468253968253967
base,validation,manufacturing,0.3888888888888889,0.5173809523809524
base,validation,mock,0.0,0.0
base,validation,prevalence,0.3888888888888889,0.43166666666666664
q_minus_0.05,test,ct_first,0.40875912408759124,0.43627737226277374
q_minus_0.05,test,full,0.11678832116788321,0.17613138686131388
q_minus_0.05,test,inspection,0.10948905109489052,0.1637226277372263
q_minus_0.05,test,manufacturing,0.40875912408759124,0.5793430656934306
q_minus_0.05,test,mock,0.0,0.0
q_minus_0.05,test,prevalence,0.40875912408759124,0.43627737226277374
q_plus_0.05,test,ct_first,0.40875912408759124,0.43364963503649634
q_plus_0.05,test,full,0.11678832116788321,0.2116058394160584
q_plus_0.05,test,inspection,0.10948905109489052,0.20021897810218978
q_plus_0.05,test,manufacturing,0.40875912408759124,0.5612408759124088
q_plus_0.05,test,mock,0.0,0.0
q_plus_0.05,test,prevalence,0.40875912408759124,0.43364963503649634
rate_0.75,test,ct_first,0.40875912408759124,0.43489051094890513
rate_0.75,test,full,0.11678832116788321,0.1943065693430657
rate_0.75,test,inspection,0.10948905109489052,0.1824087591240876
rate_0.75,test,manufacturing,0.40875912408759124,0.57007299270073
rate_0.75,test,mock,0.0,0.0
rate_0.75,test,prevalence,0.40875912408759124,0.43489051094890513
rate_1.25,test,ct_first,0.40875912408759124,0.43489051094890513
rate_1.25,test,full,0.11678832116788321,0.1943065693430657
rate_1.25,test,inspection,0.10948905109489052,0.1824087591240876
rate_1.25,test,manufacturing,0.40875912408759124,0.57007299270073
rate_1.25,test,mock,0.0,0.0
rate_1.25,test,prevalence,0.40875912408759124,0.43489051094890513
sensitivity_minus_0.05,test,ct_first,0.40875912408759124,0.43489051094890513
sensitivity_minus_0.05,test,full,0.11678832116788321,0.1943065693430657
sensitivity_minus_0.05,test,inspection,0.10948905109489052,0.1824087591240876
sensitivity_minus_0.05,test,manufacturing,0.40875912408759124,0.5705109489051094
sensitivity_minus_0.05,test,mock,0.0,0.0
sensitivity_minus_0.05,test,prevalence,0.40875912408759124,0.43489051094890513
specificity_minus_0.02,test,ct_first,0.40875912408759124,0.4345985401459854
specificity_minus_0.02,test,full,0.11678832116788321,0.19423357664233576
specificity_minus_0.02,test,inspection,0.10948905109489052,0.1824087591240876
specificity_minus_0.02,test,manufacturing,0.40875912408759124,0.5672262773722627
specificity_minus_0.02,test,mock,0.0,0.0
specificity_minus_0.02,test,prevalence,0.40875912408759124,0.4345985401459854
