split,variant,mechanism,bin_lower,bin_upper,n,positives,mean_probability,observed_fraction
test,full,dram_electrical,0.0,0.2,117,0,0.02437802676678284,0.0
test,full,dram_electrical,0.2,0.4,3,1,0.2519942012002487,0.3333333333333333
test,full,dram_electrical,0.4,0.6000000000000001,2,2,0.5780569260638344,1.0
test,full,dram_electrical,0.6000000000000001,0.8,5,5,0.7031946517167225,1.0
test,full,dram_electrical,0.8,1.0,10,10,0.8923972756359058,1.0
test,full,tsv_open_short,0.0,0.2,98,0,0.020245636098090547,0.0
test,full,tsv_open_short,0.2,0.4,11,6,0.286776515052735,0.5454545454545454
test,full,tsv_open_short,0.4,0.6000000000000001,24,8,0.47893022252631856,0.3333333333333333
test,full,tsv_open_short,0.6000000000000001,0.8,4,4,0.6893989498381954,1.0
test,full,tsv_open_short,0.8,1.0,0,0,,
test,full,microbump_open_bridge,0.0,0.2,97,0,0.014582789751405473,0.0
test,full,microbump_open_bridge,0.2,0.4,8,4,0.3368636223160322,0.5
test,full,microbump_open_bridge,0.4,0.6000000000000001,20,14,0.5030023945758548,0.7
test,full,microbump_open_bridge,0.6000000000000001,0.8,11,5,0.6913822661807152,0.45454545454545453
test,full,microbump_open_bridge,0.8,1.0,1,1,0.8010039208381776,1.0
test,full,die_crack,0.0,0.2,136,6,0.03791573016446693,0.04411764705882353
test,full,die_crack,0.2,0.4,1,0,0.22849294617716606,0.0
test,full,die_crack,0.4,0.6000000000000001,0,0,,
test,full,die_crack,0.6000000000000001,0.8,0,0,,
test,full,die_crack,0.8,1.0,0,0,,
test,full,warpage,0.0,0.2,65,3,0.040574605400035664,0.046153846153846156
test,full,warpage,0.2,0.4,27,9,0.3187335209994518,0.3333333333333333
test,full,warpage,0.4,0.6000000000000001,32,14,0.5088054407066659,0.4375
test,full,warpage,0.6000000000000001,0.8,12,8,0.6735415753295989,0.6666666666666666
test,full,warpage,0.8,1.0,1,1,0.852089065636027,1.0
test,full,underfill_void,0.0,0.2,69,2,0.03675155281046353,0.028985507246376812
test,full,underfill_void,0.2,0.4,47,17,0.29419849919132335,0.3617021276595745
test,full,underfill_void,0.4,0.6000000000000001,19,5,0.48319245317733367,0.2631578947368421
test,full,underfill_void,0.6000000000000001,0.8,2,0,0.6445280013755571,0.0
test,full,underfill_void,0.8,1.0,0,0,,
test,full,delamination,0.0,0.2,115,9,0.0626311718414861,0.0782608695652174
test,full,delamination,0.2,0.4,22,5,0.2662795766758307,0.22727272727272727
test,full,delamination,0.4,0.6000000000000001,0,0,,
test,full,delamination,0.6000000000000001,0.8,0,0,,
test,full,delamination,0.8,1.0,0,0,,
test,inspection,dram_electrical,0.0,0.2,119,0,0.007758085794236878,0.0
test,inspection,dram_electrical,0.2,0.4,0,0,,
test,inspection,dram_electrical,0.4,0.6000000000000001,0,0,,
test,inspection,dram_electrical,0.6000000000000001,0.8,1,1,0.7048650045975468,1.0
test,inspection,dram_electrical,0.8,1.0,17,17,0.9597383447341414,1.0
test,inspection,tsv_open_short,0.0,0.2,96,0,0.004253889509996071,0.0
test,inspection,tsv_open_short,0.2,0.4,13,4,0.3291147141183877,0.3076923076923077
test,inspection,tsv_open_short,0.4,0.6000000000000001,23,10,0.4894950669052511,0.43478260869565216
test,inspection,tsv_open_short,0.6000000000000001,0.8,5,4,0.6983794822958103,0.8
test,inspection,tsv_open_short,0.8,1.0,0,0,,
test,inspection,microbump_open_bridge,0.0,0.2,95,0,0.0021655874300311904,0.0
test,inspection,microbump_open_bridge,0.2,0.4,4,1,0.27628723965531976,0.25
test,inspection,microbump_open_bridge,0.4,0.6000000000000001,23,13,0.5080599805099772,0.5652173913043478
test,inspection,microbump_open_bridge,0.6000000000000001,0.8,15,10,0.6509597846073591,0.6666666666666666
test,inspection,microbump_open_bridge,0.8,1.0,0,0,,
test,inspection,die_crack,0.0,0.2,137,6,0.04164652157905389,0.043795620437956206
test,inspection,die_crack,0.2,0.4,0,0,,
test,inspection,die_crack,0.4,0.6000000000000001,0,0,,
test,inspection,die_crack,0.6000000000000001,0.8,0,0,,
test,inspection,die_crack,0.8,1.0,0,0,,
test,inspection,warpage,0.0,0.2,62,2,0.015212369507507463,0.03225806451612903
test,inspection,warpage,0.2,0.4,26,7,0.3023266264749461,0.2692307692307692
test,inspection,warpage,0.4,0.6000000000000001,33,16,0.5002980122169721,0.48484848484848486
test,inspection,warpage,0.6000000000000001,0.8,15,9,0.6681943351663403,0.6
test,inspection,warpage,0.8,1.0,1,1,0.8033057606829489,1.0
test,inspection,underfill_void,0.0,0.2,70,3,0.028535826589009706,0.04285714285714286
test,inspection,underfill_void,0.2,0.4,43,13,0.29601112949791114,0.3023255813953488
test,inspection,underfill_void,0.4,0.6000000000000001,22,8,0.4820699882575758,0.36363636363636365
test,inspection,underfill_void,0.6000000000000001,0.8,2,0,0.6558142853431972,0.0
