split,arm,synthetic_audit,coexisting,cost,pending_cost,technician_hours,engineer_hours,equipment_hours,nominal_hours,complete,concern_complete,correctly_complete,unresolved_count,unexplained_count,untested_count,false_absences,false_positives,missed_faults,missed_coexisting_faults,incorrectly_complete,review_pending,attempts,inconclusive_attempts,repeated_attempts,mechanism_evidence_complete,battery_attempted,audit_complete
test,ct_first,False,False,1146.0834586466165,51.1578947368421,2.852218045112782,2.815093984962406,6.5219736842105265,21.25107142857143,0.8699248120300752,0.8753383458646616,0.8333082706766918,0.1549624060150376,0.05842105263157895,3.7107518796992482,0.024360902255639097,0.03616541353383459,0.11541353383458647,0.0,0.03661654135338346,0.13007518796992482,1.9096992481203008,0.25661654135338346,0.1130827067669173,0.017368421052631578,0.0036090225563909775,0.0
test,ct_first,False,True,1495.75,117.0,3.73625,3.6425,8.4325,28.1275,0.845,0.845,0.38,0.22,0.055,2.69,0.03,0.05,0.635,0.635,0.465,0.155,2.48,0.305,0.125,0.02,0.02,0.0
test,ct_first,True,False,2383.8,621.0,5.5975,6.2125,14.06,39.605,0.6,0.6,0.56,0.925,0.0,0.69,0.025,0.05,0.1,0.0,0.04,0.4,5.035,0.705,0.38,0.6,0.655,0.6
test,full,False,False,1147.6962406015039,51.1578947368421,2.85359022556391,2.8217857142857143,6.532725563909774,21.261823308270678,0.8698496240601504,0.8753383458646616,0.8333082706766918,0.1549624060150376,0.05842105263157895,3.7059398496240603,0.024511278195488723,0.03616541353383459,0.11315789473684211,0.0,0.036541353383458645,0.13015037593984963,1.9125563909774437,0.2569172932330827,0.11330827067669173,0.017368421052631578,0.0036090225563909775,0.0
test,full,False,True,1502.5,117.0,3.7425,3.67,8.4775,28.1725,0.845,0.845,0.38,0.22,0.055,2.68,0.03,0.05,0.635,0.635,0.465,0.155,2.495,0.315,0.13,0.02,0.02,0.0
test,full,True,False,2383.8,621.0,5.5975,6.2125,14.06,39.605,0.6,0.6,0.56,0.925,0.0,0.69,0.025,0.05,0.1,0.0,0.04,0.4,5.035,0.705,0.38,0.6,0.655,0.6
test,inspection,False,False,1147.6962406015039,51.1578947368421,2.85359022556391,2.8217857142857143,6.532725563909774,21.261823308270678,0.8698496240601504,0.8753383458646616,0.8333082706766918,0.1549624060150376,0.05842105263157895,3.7059398496240603,0.024511278195488723,0.03616541353383459,0.11315789473684211,0.0,0.036541353383458645,0.13015037593984963,1.9125563909774437,0.2569172932330827,0.11330827067669173,0.017368421052631578,0.0036090225563909775,0.0
test,inspection,False,True,1495.75,117.0,3.73625,3.6425,8.4325,28.1275,0.845,0.845,0.38,0.22,0.055,2.69,0.03,0.05,0.635,0.635,0.465,0.155,2.48,0.305,0.125,0.02,0.02,0.0
test,inspection,True,False,2383.8,621.0,5.5975,6.2125,14.06,39.605,0.6,0.6,0.56,0.925,0.0,0.69,0.025,0.05,0.1,0.0,0.04,0.4,5.035,0.705,0.38,0.6,0.655,0.6
test,manufacturing,False,False,1146.0834586466165,51.1578947368421,2.852218045112782,2.815093984962406,6.5219736842105265,21.25107142857143,0.8699248120300752,0.8753383458646616,0.8333082706766918,0.1549624060150376,0.05842105263157895,3.7107518796992482,0.024360902255639097,0.03616541353383459,0.11541353383458647,0.0,0.03661654135338346,0.13007518796992482,1.9096992481203008,0.25661654135338346,0.1130827067669173,0.017368421052631578,0.0036090225563909775,0.0
