split,arm,reference,metric,paired_mean_difference,lot_bootstrap_low,lot_bootstrap_high,mc_replication_sd,mc_standard_error,lot_count,bootstrap_samples
test,ct_first,mock,cost,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,pending_cost,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,technician_hours,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,engineer_hours,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,equipment_hours,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,nominal_hours,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,concern_complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,correctly_complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,unresolved_count,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,unexplained_count,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,untested_count,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,false_absences,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,false_positives,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,missed_faults,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,missed_coexisting_faults,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,incorrectly_complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,review_pending,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,attempts,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,inconclusive_attempts,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,repeated_attempts,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,mechanism_evidence_complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,battery_attempted,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,audit_complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,cost,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,pending_cost,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,technician_hours,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,engineer_hours,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,equipment_hours,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,nominal_hours,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,concern_complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,correctly_complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,unresolved_count,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,unexplained_count,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,untested_count,0.0,0.0,0.0,0.0,0.0,36,1000
test,prevalence,mock,false_absences,0.0,0.0,0.0,0.0,0.0,36,1000
