scenario,split,arm,first_choice_differs,sequence_differs
base,test,ct_first,0.0,0.0
base,test,full,0.058394160583941604,0.05948905109489051
base,test,inspection,0.058394160583941604,0.05875912408759124
base,test,manufacturing,0.0,0.000364963503649635
base,test,mock,0.0,0.0
base,test,prevalence,0.0,0.0
base,train,ct_first,0.0,0.0
base,train,full,0.05206738131699847,0.0613323124042879
base,train,inspection,0.05972434915773354,0.060551301684532925
base,train,manufacturing,0.0,0.00223583460949464
base,train,mock,0.0,0.0
base,train,prevalence,0.0,0.0
base,validation,ct_first,0.0,0.0
base,validation,full,0.06349206349206349,0.0892063492063492
base,validation,inspection,0.0873015873015873,0.09801587301587301
base,validation,manufacturing,0.0,0.0016666666666666668
base,validation,mock,0.0,0.0
base,validation,prevalence,0.0,0.0
q_minus_0.05,test,ct_first,0.0,0.0
q_minus_0.05,test,full,0.058394160583941604,0.0591970802919708
q_minus_0.05,test,inspection,0.058394160583941604,0.05875912408759124
q_minus_0.05,test,manufacturing,0.0,0.000364963503649635
q_minus_0.05,test,mock,0.0,0.0
q_minus_0.05,test,prevalence,0.0,0.0
q_plus_0.05,test,ct_first,0.0,0.0
q_plus_0.05,test,full,0.058394160583941604,0.059854014598540145
q_plus_0.05,test,inspection,0.058394160583941604,0.058686131386861316
q_plus_0.05,test,manufacturing,0.0,0.00029197080291970805
q_plus_0.05,test,mock,0.0,0.0
q_plus_0.05,test,prevalence,0.0,0.0
rate_0.75,test,ct_first,0.0,0.0
rate_0.75,test,full,0.058394160583941604,0.05948905109489051
rate_0.75,test,inspection,0.058394160583941604,0.05875912408759124
rate_0.75,test,manufacturing,0.0,0.000364963503649635
rate_0.75,test,mock,0.0,0.0
rate_0.75,test,prevalence,0.0,0.0
rate_1.25,test,ct_first,0.0,0.0
rate_1.25,test,full,0.058394160583941604,0.05948905109489051
rate_1.25,test,inspection,0.058394160583941604,0.05875912408759124
rate_1.25,test,manufacturing,0.0,0.000364963503649635
rate_1.25,test,mock,0.0,0.0
rate_1.25,test,prevalence,0.0,0.0
sensitivity_minus_0.05,test,ct_first,0.0,0.0
sensitivity_minus_0.05,test,full,0.058394160583941604,0.06
sensitivity_minus_0.05,test,inspection,0.058394160583941604,0.05927007299270073
sensitivity_minus_0.05,test,manufacturing,0.0,0.0008759124087591241
sensitivity_minus_0.05,test,mock,0.0,0.0
sensitivity_minus_0.05,test,prevalence,0.0,0.0
specificity_minus_0.02,test,ct_first,0.0,0.0
specificity_minus_0.02,test,full,0.058394160583941604,0.05941605839416059
specificity_minus_0.02,test,inspection,0.058394160583941604,0.058686131386861316
specificity_minus_0.02,test,manufacturing,0.0,0.00029197080291970805
specificity_minus_0.02,test,mock,0.0,0.0
specificity_minus_0.02,test,prevalence,0.0,0.0
