die_id,stack_id,disposition
D0000001,S000051,assembled
D0000002,S000059,assembled
D0000003,S000063,assembled
D0000004,S000032,assembled
D0000005,S000004,assembled
D0000006,S000010,assembled
D0000007,S000013,assembled
D0000008,S000053,assembled
D0000009,S000003,assembled
D0000010,S000012,assembled
D0000011,S000033,assembled
D0000012,,screen_rejected
D0000013,S000054,assembled
D0000014,S000050,assembled
D0000015,S000053,assembled
D0000016,S000006,assembled
D0000017,S000047,assembled
D0000018,S000029,assembled
D0000019,S000054,assembled
D0000020,S000027,assembled
D0000021,S000020,assembled
D0000022,S000024,assembled
D0000023,S000005,assembled
D0000024,S000010,assembled
D0000025,S000015,assembled
D0000026,S000050,assembled
D0000027,S000044,assembled
D0000028,S000059,assembled
D0000029,S000048,assembled
D0000030,S000044,assembled
D0000031,S000061,assembled
D0000032,S000027,assembled
D0000033,S000035,assembled
D0000034,S000059,assembled
D0000035,S000018,assembled
D0000036,S000029,assembled
D0000037,,screen_rejected
D0000038,S000042,assembled
D0000039,S000033,assembled
D0000040,S000008,assembled
D0000041,S000023,assembled
D0000042,S000058,assembled
D0000043,S000035,assembled
D0000044,S000047,assembled
D0000045,S000058,assembled
D0000046,S000056,assembled
D0000047,S000019,assembled
D0000048,S000010,assembled
D0000049,S000013,assembled
D0000050,S000025,assembled
D0000051,,screen_rejected
D0000052,S000062,assembled
D0000053,S000043,assembled
D0000054,S000045,assembled
D0000055,S000047,assembled
D0000056,S000022,assembled
D0000057,S000024,assembled
D0000058,S000050,assembled
D0000059,S000023,assembled
D0000060,S000014,assembled
D0000061,S000012,assembled
D0000062,S000043,assembled
D0000063,,screen_rejected
D0000064,S000054,assembled
D0000065,S000020,assembled
D0000066,S000045,assembled
D0000067,S000009,assembled
D0000068,S000052,assembled
D0000069,S000025,assembled
D0000070,S000063,assembled
D0000071,S000037,assembled
D0000072,S000054,assembled
D0000073,S000059,assembled
D0000074,S000018,assembled
D0000075,S000027,assembled
D0000076,S000037,assembled
D0000077,S000058,assembled
D0000078,S000010,assembled
D0000079,S000021,assembled
D0000080,S000026,assembled
D0000081,,screen_rejected
D0000082,,screen_rejected
