stack_id,lot_id,split,product_generation,stack_layer_count,capacity_gb,packaging_route,assembly_tool_id,emc_batch_id,base_die_id,assembly_start_time_utc,reflow_start_time_utc,assembly_end_time_utc,feature_available_time_utc,stack_height_um,mold_cap_thickness_um,inter_die_gap_mean_um,max_alignment_offset_um,cumulative_die_shift_um,emc_viscosity_pa_s,molding_pressure_mpa,molding_vacuum_absolute_kpa,reflow_peak_temperature_c,time_above_liquidus_sec,heating_rate_c_sec,cure_temperature_c,cure_duration_min,underfill_void_pct,delamination_area_pct,package_warpage_um,stacks_since_tool_service,inspection_sampled
S000001,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000001,2025-01-07T00:00:00Z,2025-01-07T00:05:00Z,2025-01-07T01:40:00Z,2025-01-07T03:40:00Z,610.20148,29.771386,13.009947,0.59623402,0.8526685,10.20985,7.1906723,3.5266944,247.23043,61.377255,1.4803325,175.71536,62.945714,0.36436252,0.18275617,14.717575,0,1
S000002,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000002,2025-01-07T00:10:00Z,2025-01-07T00:15:00Z,2025-01-07T01:50:00Z,2025-01-07T03:50:00Z,610.89126,29.896877,13.023744,0.48622537,0.8739333,10.445678,7.0749608,2.4428697,243.12814,58.169915,1.3855267,172.94287,60.291746,0.24916834,0.18423339,12.633019,1,1
S000003,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000003,2025-01-07T00:20:00Z,2025-01-07T00:25:00Z,2025-01-07T02:00:00Z,2025-01-07T04:00:00Z,611.61812,30.580302,13.073444,0.37719,0.89171039,10.454933,6.8677597,3.5905422,248.29454,57.396128,1.532564,173.29201,55.864141,0.34490896,0.095871969,10.675453,2,1
S000004,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000004,2025-01-07T00:30:00Z,2025-01-07T00:35:00Z,2025-01-07T02:10:00Z,2025-01-07T04:10:00Z,608.18121,29.530927,12.928838,0.46204726,0.62621414,10.105566,7.2228659,2.4317893,241.26409,57.947618,1.6127338,175.87272,56.874372,0.18480658,0.049011254,12.545134,3,1
S000005,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000005,2025-01-07T00:40:00Z,2025-01-07T00:45:00Z,2025-01-07T02:20:00Z,2025-01-07T04:20:00Z,610.30842,30.042491,12.946618,0.68124208,0.68971149,8.4405055,6.9847258,2.1508987,241.79721,56.7771,1.6321466,176.51936,60.128581,0.11423864,0.20950127,12.250372,4,1
S000006,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000006,2025-01-07T00:50:00Z,2025-01-07T00:55:00Z,2025-01-07T02:30:00Z,2025-01-07T04:30:00Z,611.19412,30.264029,13.158243,0.4807999,0.71847242,9.7662763,7.0247881,2.7860029,245.0809,58.248915,1.5498129,175.18846,59.663598,0.23833233,0.043146113,12.664992,5,1
S000007,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000007,2025-01-07T01:00:00Z,2025-01-07T01:05:00Z,2025-01-07T02:40:00Z,2025-01-07T04:40:00Z,610.58927,30.729528,12.985941,0.64041167,1.016609,12.44667,7.1561222,2.838005,247.57203,53.358598,1.434914,175.36299,60.590532,0.57547373,0.16606209,14.300196,6,1
S000008,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000008,2025-01-07T01:10:00Z,2025-01-07T01:15:00Z,2025-01-07T02:50:00Z,2025-01-07T04:50:00Z,609.41521,29.935757,12.968961,0.48110528,1.5135841,9.8523867,6.6080704,2.6103581,241.98187,57.57091,1.4473498,175.83953,62.834372,0.19254547,0.15780299,15.321653,7,1
S000009,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000009,2025-01-07T01:20:00Z,2025-01-07T01:25:00Z,2025-01-07T03:00:00Z,2025-01-07T05:00:00Z,609.80844,29.767157,13.010132,0.45873028,1.8302779,9.6029616,7.5317937,3.742479,247.0504,55.671723,1.5194106,177.17218,59.775139,0.37561677,0.098151848,16.254779,8,1
S000010,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000010,2025-01-07T01:30:00Z,2025-01-07T01:35:00Z,2025-01-07T03:10:00Z,2025-01-07T05:10:00Z,609.74315,29.89094,12.916011,0.53565212,1.4253822,9.3055696,7.2137672,2.4280025,249.00486,61.257566,1.5494004,174.15238,58.629459,0.14525189,0.07595558,12.583913,9,1
