base_die_id,base_lot_id,receiving_lot_id,base_die_source,probe_time_utc,base_die_thickness_um,base_leakage_current_ua,base_probe_pass,split,inventory_status
B0000001,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.717995,1.094204,1,train,assembled
B0000002,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.981117,1.6048788,1,train,assembled
B0000003,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.170156,0.78348051,1,train,assembled
B0000004,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.546259,1.0234148,1,train,assembled
B0000005,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.990819,1.1431398,1,train,assembled
B0000006,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.568417,1.1800604,1,train,assembled
B0000007,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.180123,1.1383393,1,train,assembled
B0000008,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.402431,1.1365701,1,train,assembled
B0000009,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.517338,1.4739247,1,train,assembled
B0000010,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.208987,1.1999938,1,train,assembled
B0000011,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.717638,1.3953508,1,train,assembled
B0000012,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.146561,1.4035757,1,train,assembled
B0000013,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.355135,0.59781485,1,train,assembled
B0000014,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.065151,1.1266496,1,train,assembled
B0000015,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.286602,1.4317521,1,train,assembled
B0000016,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.471971,1.6111921,1,train,assembled
B0000017,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.424804,1.7311828,1,train,assembled
