lot_id,release_time_utc,split,product_generation,stack_layer_count,capacity_gb,scenario,material_batch_id,wafers_in_cohort,sampled_dies_per_wafer
L0001,2025-01-01T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT001,25,32
L0002,2025-01-01T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT001,25,32
L0003,2025-01-02T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT001,25,32
L0004,2025-01-02T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT001,25,32
L0005,2025-01-03T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT001,25,32
L0006,2025-01-03T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT001,25,32
L0007,2025-01-04T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT002,25,32
L0008,2025-01-04T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT002,25,32
L0009,2025-01-05T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT002,25,32
L0010,2025-01-05T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT002,25,32
L0011,2025-01-06T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT002,25,32
L0012,2025-01-06T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT002,25,32
L0013,2025-01-07T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT003,25,32
L0014,2025-01-07T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT003,25,32
L0015,2025-01-08T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT003,25,32
L0016,2025-01-08T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT003,25,32
