die_id,available_time_utc,tsv_count_assumed,tsv_pitch_um_assumed,tsv_diameter_um,tsv_etched_depth_um,tsv_etch_aspect_ratio,tsv_conductor_length_um,tsv_sidewall_angle_deg,tsv_liner_thickness_nm,tsv_copper_void_pct,tsv_resistance_mohm,detected_tsv_open_count,detected_tsv_short_count,tsv_continuity_pass
D0000001,2025-01-05T18:00:00Z,8192,35,,,,31.009673,,,,29.864859,0,0,1
D0000002,2025-01-05T18:00:00Z,8192,35,,,,31.279506,,,,30.037154,0,0,1
D0000003,2025-01-05T18:00:00Z,8192,35,,,,31.108599,,,,30.331276,0,0,1
D0000004,2025-01-05T18:00:00Z,8192,35,5.0395622,64.615186,12.821587,31.322146,89.532096,199.06028,0.17360989,31.229237,0,0,1
D0000005,2025-01-05T18:00:00Z,8192,35,,,,31.488283,,,,30.404169,0,0,1
D0000006,2025-01-05T18:00:00Z,8192,35,,,,31.559133,,,,28.197381,0,0,1
D0000007,2025-01-05T18:00:00Z,8192,35,,,,30.627976,,,,29.3567,0,0,1
D0000008,2025-01-05T18:00:00Z,8192,35,,,,31.201308,,,,30.589414,0,0,1
D0000009,2025-01-05T18:00:00Z,8192,35,4.9721327,65.108681,13.094719,31.167982,89.49775,198.5498,0.15597829,29.439401,0,0,1
D0000010,2025-01-05T18:00:00Z,8192,35,4.9013906,64.851919,13.231331,30.976759,89.38852,201.1488,0.19066177,30.308365,0,0,1
D0000011,2025-01-05T18:00:00Z,8192,35,,,,31.139454,,,,28.758181,0,0,1
D0000012,2025-01-05T18:00:00Z,8192,35,,,,30.93998,,,,29.132668,0,0,1
D0000013,2025-01-05T18:00:00Z,8192,35,,,,30.836803,,,,29.108456,0,0,1
D0000014,2025-01-05T18:00:00Z,8192,35,,,,31.481398,,,,29.666498,0,0,1
D0000015,2025-01-05T18:00:00Z,8192,35,,,,31.203409,,,,29.560323,0,0,1
D0000016,2025-01-05T18:00:00Z,8192,35,,,,30.843161,,,,29.276656,0,0,1
D0000017,2025-01-05T18:00:00Z,8192,35,,,,31.265984,,,,31.502943,0,0,1
D0000018,2025-01-05T18:00:00Z,8192,35,,,,31.150504,,,,29.548144,0,0,1
D0000019,2025-01-05T18:00:00Z,8192,35,5.0875009,65.020531,12.780446,31.163896,89.444891,203.11317,0.28179589,28.23765,0,0,1
D0000020,2025-01-05T18:00:00Z,8192,35,,,,31.123681,,,,29.373639,0,0,1
D0000021,2025-01-05T18:00:00Z,8192,35,,,,31.352582,,,,29.77337,0,0,1
D0000022,2025-01-05T18:00:00Z,8192,35,,,,31.658301,,,,30.587477,0,0,1
D0000023,2025-01-05T18:00:00Z,8192,35,,,,30.953498,,,,31.034129,0,0,1
D0000024,2025-01-05T18:00:00Z,8192,35,,,,31.155377,,,,30.292295,0,0,1
D0000025,2025-01-05T18:00:00Z,8192,35,,,,30.95562,,,,29.758131,0,0,1
D0000026,2025-01-05T18:00:00Z,8192,35,,,,31.342627,,,,29.767014,0,0,1
D0000027,2025-01-05T18:00:00Z,8192,35,,,,31.443193,,,,28.963755,0,0,1
D0000028,2025-01-05T18:00:00Z,8192,35,4.9785929,64.906959,13.03721,31.009643,89.48592,201.22738,0.17786157,29.163761,0,0,1
D0000029,2025-01-05T18:00:00Z,8192,35,,,,31.00397,,,,30.755433,0,0,1
D0000030,2025-01-05T18:00:00Z,8192,35,,,,31.09906,,,,30.371466,0,0,1
D0000031,2025-01-05T18:00:00Z,8192,35,,,,31.49974,,,,29.43483,0,0,1
D0000032,2025-01-05T18:00:00Z,8192,35,,,,31.650293,,,,30.209924,0,0,1
D0000033,2025-01-05T18:08:00Z,8192,35,4.9321108,65.208705,13.221257,31.515235,89.453926,205.07891,0.40923187,32.752314,0,0,1
D0000034,2025-01-05T18:08:00Z,8192,35,,,,31.062809,,,,29.505042,0,0,1
D0000035,2025-01-05T18:08:00Z,8192,35,4.9367476,65.165168,13.20002,31.099914,89.56019,201.29058,0.35935432,30.53093,0,0,1
D0000036,2025-01-05T18:08:00Z,8192,35,,,,30.820468,,,,32.700795,0,0,1
D0000037,2025-01-05T18:08:00Z,8192,35,,,,31.736813,,,,29.832065,1,0,0
D0000038,2025-01-05T18:08:00Z,8192,35,,,,31.724591,,,,29.086163,0,0,1
D0000039,2025-01-05T18:08:00Z,8192,35,4.9360045,65.391328,13.247826,30.854018,89.512461,201.72472,0.3978337,30.6778,0,0,1
D0000040,2025-01-05T18:08:00Z,8192,35,,,,31.997636,,,,30.701342,0,0,1
D0000041,2025-01-05T18:08:00Z,8192,35,5.0109707,65.189979,13.009451,31.524179,89.487272,202.78135,0.45520617,30.245147,0,0,1
D0000042,2025-01-05T18:08:00Z,8192,35,,,,31.044997,,,,29.785606,0,0,1
D0000043,2025-01-05T18:08:00Z,8192,35,,,,31.071767,,,,30.121633,0,0,1
D0000044,2025-01-05T18:08:00Z,8192,35,,,,30.862476,,,,31.811785,0,0,1
D0000045,2025-01-05T18:08:00Z,8192,35,4.9937658,64.81212,12.978606,31.401634,89.482201,200.73104,0.29416792,30.092345,0,0,1
D0000046,2025-01-05T18:08:00Z,8192,35,,,,31.417983,,,,28.108299,0,0,1
D0000047,2025-01-05T18:08:00Z,8192,35,5.0394462,64.512237,12.801454,31.521094,89.484126,204.19938,0.45608612,28.70565,0,0,1
