run_id,wafer_id,process_step,process_order,tool_id,chamber_id,recipe_id,start_time_utc,end_time_utc,duration_sec,temperature_c,pressure_torr,gas_flow_sccm,etch_rate_nm_min,rf_source_power_w,temperature_std_c,temperature_slope_c_min,wafers_since_chamber_clean,hours_since_maintenance,consumable_age_cycles,alarm_count_run,cleanroom_humidity_pct,airborne_particles_per_m3
R0000001,W000001,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-01T00:00:00Z,2025-01-01T00:30:03Z,1803.1183,848.48253,756.91789,3932.4063,,,1.7,-0.0051218737,0,0,0,0,42.433562,2
R0000002,W000002,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-01T00:08:00Z,2025-01-01T00:38:05Z,1805.9565,850.04965,764.3586,3966.0975,,,1.8787046,-0.012061637,0,0,0,0,44.598132,5
R0000003,W000003,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-01T00:16:00Z,2025-01-01T00:46:02Z,1802.7888,850.44163,752.3689,4033.8927,,,1.9528461,-0.0094230064,0,0,0,0,43.80197,4
R0000004,W000004,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H12_V1,2025-01-01T00:24:00Z,2025-01-01T00:53:26Z,1766.4699,853.2216,760.21211,3926.4044,,,1.7,-0.048698655,0,0,0,0,44.141762,1
R0000005,W000005,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H12_V1,2025-01-01T00:32:00Z,2025-01-01T01:02:41Z,1841.0147,846.23801,753.80967,3906.4867,,,1.7311805,0.0058317976,0,0,0,0,44.273528,1
R0000006,W000006,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H12_V1,2025-01-01T00:40:00Z,2025-01-01T01:10:47Z,1847.3643,847.86917,763.56488,3911.3022,,,1.8358875,-0.028809877,0,0,0,0,43.196503,5
R0000007,W000007,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H12_V1,2025-01-01T00:48:00Z,2025-01-01T01:18:49Z,1849.5564,850.93678,760.77937,3935.232,,,1.8923642,-0.025012284,0,0,0,0,43.138753,2
R0000008,W000008,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H12_V1,2025-01-01T00:56:00Z,2025-01-01T01:25:11Z,1751.9167,849.01924,748.60422,4074.7826,,,1.7,0.0046620181,0,0,0,0,43.869127,1
R0000009,W000009,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-01T01:04:00Z,2025-01-01T01:33:26Z,1766.0154,846.43864,746.39493,3970.5554,,,1.7,0.011865442,1,1.0666667,1,0,45.683722,5
R0000010,W000010,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-01T01:12:00Z,2025-01-01T01:42:21Z,1821.8057,848.70225,749.06787,3971.706,,,1.7,0.02396125,1,1.0666667,1,0,42.705221,1
