wafer_id,lot_id,wafer_slot,wafer_diameter_mm,full_die_sites_on_assumed_grid,sampled_die_sites,stack_layer_count,split,start_time_utc
W000001,L0001,1,300,621,32,12,train,2025-01-01T00:00:00Z
W000002,L0001,2,300,621,32,12,train,2025-01-01T00:08:00Z
W000003,L0001,3,300,621,32,12,train,2025-01-01T00:16:00Z
W000004,L0001,4,300,621,32,12,train,2025-01-01T00:24:00Z
W000005,L0001,5,300,621,32,12,train,2025-01-01T00:32:00Z
W000006,L0001,6,300,621,32,12,train,2025-01-01T00:40:00Z
W000007,L0001,7,300,621,32,12,train,2025-01-01T00:48:00Z
W000008,L0001,8,300,621,32,12,train,2025-01-01T00:56:00Z
W000009,L0001,9,300,621,32,12,train,2025-01-01T01:04:00Z
W000010,L0001,10,300,621,32,12,train,2025-01-01T01:12:00Z
W000011,L0001,11,300,621,32,12,train,2025-01-01T01:20:00Z
W000012,L0001,12,300,621,32,12,train,2025-01-01T01:28:00Z
W000013,L0001,13,300,621,32,12,train,2025-01-01T01:36:00Z
W000014,L0001,14,300,621,32,12,train,2025-01-01T01:44:00Z
W000015,L0001,15,300,621,32,12,train,2025-01-01T01:52:00Z
W000016,L0001,16,300,621,32,12,train,2025-01-01T02:00:00Z
W000017,L0001,17,300,621,32,12,train,2025-01-01T02:08:00Z
W000018,L0001,18,300,621,32,12,train,2025-01-01T02:16:00Z
W000019,L0001,19,300,621,32,12,train,2025-01-01T02:24:00Z
W000020,L0001,20,300,621,32,12,train,2025-01-01T02:32:00Z
W000021,L0001,21,300,621,32,12,train,2025-01-01T02:40:00Z
W000022,L0001,22,300,621,32,12,train,2025-01-01T02:48:00Z
W000023,L0001,23,300,621,32,12,train,2025-01-01T02:56:00Z
W000024,L0001,24,300,621,32,12,train,2025-01-01T03:04:00Z
W000025,L0001,25,300,621,32,12,train,2025-01-01T03:12:00Z
W000026,L0002,1,300,621,32,12,train,2025-01-01T12:00:00Z
W000027,L0002,2,300,621,32,12,train,2025-01-01T12:08:00Z
W000028,L0002,3,300,621,32,12,train,2025-01-01T12:16:00Z
W000029,L0002,4,300,621,32,12,train,2025-01-01T12:24:00Z
W000030,L0002,5,300,621,32,12,train,2025-01-01T12:32:00Z
W000031,L0002,6,300,621,32,12,train,2025-01-01T12:40:00Z
W000032,L0002,7,300,621,32,12,train,2025-01-01T12:48:00Z
W000033,L0002,8,300,621,32,12,train,2025-01-01T12:56:00Z
W000034,L0002,9,300,621,32,12,train,2025-01-01T13:04:00Z
W000035,L0002,10,300,621,32,12,train,2025-01-01T13:12:00Z
W000036,L0002,11,300,621,32,12,train,2025-01-01T13:20:00Z
W000037,L0002,12,300,621,32,12,train,2025-01-01T13:28:00Z
W000038,L0002,13,300,621,32,12,train,2025-01-01T13:36:00Z
W000039,L0002,14,300,621,32,12,train,2025-01-01T13:44:00Z
W000040,L0002,15,300,621,32,12,train,2025-01-01T13:52:00Z
W000041,L0002,16,300,621,32,12,train,2025-01-01T14:00:00Z
W000042,L0002,17,300,621,32,12,train,2025-01-01T14:08:00Z
W000043,L0002,18,300,621,32,12,train,2025-01-01T14:16:00Z
W000044,L0002,19,300,621,32,12,train,2025-01-01T14:24:00Z
W000045,L0002,20,300,621,32,12,train,2025-01-01T14:32:00Z
W000046,L0002,21,300,621,32,12,train,2025-01-01T14:40:00Z
W000047,L0002,22,300,621,32,12,train,2025-01-01T14:48:00Z
W000048,L0002,23,300,621,32,12,train,2025-01-01T14:56:00Z
W000049,L0002,24,300,621,32,12,train,2025-01-01T15:04:00Z
W000050,L0002,25,300,621,32,12,train,2025-01-01T15:12:00Z
W000051,L0003,1,300,621,32,12,train,2025-01-02T00:00:00Z
W000052,L0003,2,300,621,32,12,train,2025-01-02T00:08:00Z
W000053,L0003,3,300,621,32,12,train,2025-01-02T00:16:00Z
W000054,L0003,4,300,621,32,12,train,2025-01-02T00:24:00Z
W000055,L0003,5,300,621,32,12,train,2025-01-02T00:32:00Z
W000056,L0003,6,300,621,32,12,train,2025-01-02T00:40:00Z
W000057,L0003,7,300,621,32,12,train,2025-01-02T00:48:00Z
W000058,L0003,8,300,621,32,12,train,2025-01-02T00:56:00Z
W000059,L0003,9,300,621,32,12,train,2025-01-02T01:04:00Z
W000060,L0003,10,300,621,32,12,train,2025-01-02T01:12:00Z
W000061,L0003,11,300,621,32,12,train,2025-01-02T01:20:00Z
W000062,L0003,12,300,621,32,12,train,2025-01-02T01:28:00Z
W000063,L0003,13,300,621,32,12,train,2025-01-02T01:36:00Z
W000064,L0003,14,300,621,32,12,train,2025-01-02T01:44:00Z
W000065,L0003,15,300,621,32,12,train,2025-01-02T01:52:00Z
W000066,L0003,16,300,621,32,12,train,2025-01-02T02:00:00Z
W000067,L0003,17,300,621,32,12,train,2025-01-02T02:08:00Z
W000068,L0003,18,300,621,32,12,train,2025-01-02T02:16:00Z
W000069,L0003,19,300,621,32,12,train,2025-01-02T02:24:00Z
W000070,L0003,20,300,621,32,12,train,2025-01-02T02:32:00Z
W000071,L0003,21,300,621,32,12,train,2025-01-02T02:40:00Z
W000072,L0003,22,300,621,32,12,train,2025-01-02T02:48:00Z
W000073,L0003,23,300,621,32,12,train,2025-01-02T02:56:00Z
W000074,L0003,24,300,621,32,12,train,2025-01-02T03:04:00Z
W000075,L0003,25,300,621,32,12,train,2025-01-02T03:12:00Z
W000076,L0004,1,300,621,32,8,train,2025-01-02T12:00:00Z
W000077,L0004,2,300,621,32,8,train,2025-01-02T12:08:00Z
W000078,L0004,3,300,621,32,8,train,2025-01-02T12:16:00Z
W000079,L0004,4,300,621,32,8,train,2025-01-02T12:24:00Z
W000080,L0004,5,300,621,32,8,train,2025-01-02T12:32:00Z
W000081,L0004,6,300,621,32,8,train,2025-01-02T12:40:00Z
W000082,L0004,7,300,621,32,8,train,2025-01-02T12:48:00Z
W000083,L0004,8,300,621,32,8,train,2025-01-02T12:56:00Z
W000084,L0004,9,300,621,32,8,train,2025-01-02T13:04:00Z
W000085,L0004,10,300,621,32,8,train,2025-01-02T13:12:00Z
W000086,L0004,11,300,621,32,8,train,2025-01-02T13:20:00Z
W000087,L0004,12,300,621,32,8,train,2025-01-02T13:28:00Z
W000088,L0004,13,300,621,32,8,train,2025-01-02T13:36:00Z
W000089,L0004,14,300,621,32,8,train,2025-01-02T13:44:00Z
W000090,L0004,15,300,621,32,8,train,2025-01-02T13:52:00Z
W000091,L0004,16,300,621,32,8,train,2025-01-02T14:00:00Z
W000092,L0004,17,300,621,32,8,train,2025-01-02T14:08:00Z
W000093,L0004,18,300,621,32,8,train,2025-01-02T14:16:00Z
