stack_id,split,final_test_pass,final_test_fail,defect_type,defect_stage,label_available_time_utc,reliability_pass,reliability_sampled
S000001,train,1,0,none,none,2025-01-07T15:40:00Z,,0
S000002,train,1,0,none,none,2025-01-07T15:50:00Z,1,1
S000003,train,1,0,none,none,2025-01-07T16:00:00Z,,0
S000004,train,1,0,none,none,2025-01-07T16:10:00Z,,0
S000005,train,1,0,none,none,2025-01-07T16:20:00Z,,0
S000006,train,1,0,none,none,2025-01-07T16:30:00Z,,0
S000007,train,1,0,none,none,2025-01-07T16:40:00Z,,0
S000008,train,1,0,none,none,2025-01-07T16:50:00Z,,0
S000009,train,1,0,none,none,2025-01-07T17:00:00Z,,0
S000010,train,1,0,none,none,2025-01-07T17:10:00Z,,0
S000011,train,0,1,warpage,assembly,2025-01-07T17:20:00Z,,0
S000012,train,1,0,none,none,2025-01-07T17:30:00Z,,0
S000013,train,1,0,none,none,2025-01-07T17:40:00Z,,0
S000014,train,1,0,none,none,2025-01-07T17:50:00Z,,0
S000015,train,1,0,none,none,2025-01-07T18:00:00Z,,0
S000016,train,1,0,none,none,2025-01-07T18:10:00Z,,0
S000017,train,1,0,none,none,2025-01-07T18:20:00Z,,0
S000018,train,1,0,none,none,2025-01-07T18:30:00Z,1,1
S000019,train,1,0,none,none,2025-01-07T18:40:00Z,,0
S000020,train,1,0,none,none,2025-01-07T18:50:00Z,,0
S000021,train,1,0,none,none,2025-01-07T19:00:00Z,,0
S000022,train,1,0,none,none,2025-01-07T19:10:00Z,,0
S000023,train,1,0,none,none,2025-01-07T19:20:00Z,1,1
S000024,train,1,0,none,none,2025-01-07T19:30:00Z,,0
S000025,train,1,0,none,none,2025-01-07T19:40:00Z,,0
S000026,train,1,0,none,none,2025-01-07T19:50:00Z,,0
S000027,train,1,0,none,none,2025-01-07T20:00:00Z,,0
S000028,train,1,0,none,none,2025-01-07T20:10:00Z,,0
S000029,train,1,0,none,none,2025-01-07T20:20:00Z,1,1
S000030,train,1,0,none,none,2025-01-07T20:30:00Z,,0
S000031,train,1,0,none,none,2025-01-07T20:40:00Z,,0
S000032,train,1,0,none,none,2025-01-07T20:50:00Z,,0
S000033,train,0,1,underfill_void,molding,2025-01-07T21:00:00Z,,0
S000034,train,1,0,none,none,2025-01-07T21:10:00Z,1,1
S000035,train,1,0,none,none,2025-01-07T21:20:00Z,,0
S000036,train,1,0,none,none,2025-01-07T21:30:00Z,1,1
S000037,train,1,0,none,none,2025-01-07T21:40:00Z,,0
S000038,train,1,0,none,none,2025-01-07T21:50:00Z,,0
S000039,train,1,0,none,none,2025-01-07T22:00:00Z,,0
S000040,train,0,1,underfill_void,molding,2025-01-07T22:10:00Z,,0
S000041,train,1,0,none,none,2025-01-07T22:20:00Z,,0
S000042,train,1,0,none,none,2025-01-07T22:30:00Z,,0
S000043,train,1,0,none,none,2025-01-07T22:40:00Z,,0
S000044,train,1,0,none,none,2025-01-07T22:50:00Z,,0
S000045,train,1,0,none,none,2025-01-07T23:00:00Z,,0
S000046,train,1,0,none,none,2025-01-07T23:10:00Z,1,1
S000047,train,1,0,none,none,2025-01-07T23:20:00Z,,0
S000048,train,1,0,none,none,2025-01-07T23:30:00Z,,0
S000049,train,1,0,none,none,2025-01-07T23:40:00Z,,0
S000050,train,1,0,none,none,2025-01-07T23:50:00Z,,0
S000051,train,1,0,none,none,2025-01-08T00:00:00Z,,0
S000052,train,1,0,none,none,2025-01-08T00:10:00Z,,0
S000053,train,1,0,none,none,2025-01-08T00:20:00Z,,0
S000054,train,1,0,none,none,2025-01-08T00:30:00Z,,0
S000055,train,0,1,underfill_void,molding,2025-01-08T00:40:00Z,,0
S000056,train,0,1,tsv_open_short,tsv_or_interconnect,2025-01-08T00:50:00Z,,0
S000057,train,1,0,none,none,2025-01-08T01:00:00Z,,0
S000058,train,0,1,tsv_open_short,tsv_or_interconnect,2025-01-08T01:10:00Z,,0
S000059,train,0,1,underfill_void,molding,2025-01-08T01:20:00Z,,0
S000060,train,1,0,none,none,2025-01-08T01:30:00Z,,0
S000061,train,1,0,none,none,2025-01-08T01:40:00Z,,0
S000062,train,1,0,none,none,2025-01-08T01:50:00Z,,0
S000063,train,1,0,none,none,2025-01-08T02:00:00Z,,0
S000064,train,1,0,none,none,2025-01-08T03:40:00Z,,0
S000065,train,1,0,none,none,2025-01-08T03:50:00Z,,0
S000066,train,1,0,none,none,2025-01-08T04:00:00Z,,0
S000067,train,1,0,none,none,2025-01-08T04:10:00Z,,0
S000068,train,1,0,none,none,2025-01-08T04:20:00Z,,0
S000069,train,1,0,none,none,2025-01-08T04:30:00Z,,0
S000070,train,1,0,none,none,2025-01-08T04:40:00Z,,0
S000071,train,1,0,none,none,2025-01-08T04:50:00Z,,0
S000072,train,1,0,none,none,2025-01-08T05:00:00Z,,0
S000073,train,1,0,none,none,2025-01-08T05:10:00Z,,0
S000074,train,1,0,none,none,2025-01-08T05:20:00Z,,0
S000075,train,1,0,none,none,2025-01-08T05:30:00Z,,0
S000076,train,1,0,none,none,2025-01-08T05:40:00Z,,0
S000077,train,1,0,none,none,2025-01-08T05:50:00Z,,0
S000078,train,1,0,none,none,2025-01-08T06:00:00Z,,0
S000079,train,1,0,none,none,2025-01-08T06:10:00Z,,0
S000080,train,1,0,none,none,2025-01-08T06:20:00Z,,0
S000081,train,1,0,none,none,2025-01-08T06:30:00Z,,0
S000082,train,1,0,none,none,2025-01-08T06:40:00Z,,0
S000083,train,1,0,none,none,2025-01-08T06:50:00Z,1,1
S000084,train,0,1,warpage,assembly,2025-01-08T07:00:00Z,,0
S000085,train,1,0,none,none,2025-01-08T07:10:00Z,,0
S000086,train,1,0,none,none,2025-01-08T07:20:00Z,1,1
S000087,train,1,0,none,none,2025-01-08T07:30:00Z,,0
S000088,train,0,1,microbump_open_bridge,reflow,2025-01-08T07:40:00Z,,0
S000089,train,1,0,none,none,2025-01-08T07:50:00Z,,0
S000090,train,1,0,none,none,2025-01-08T08:00:00Z,,0
S000091,train,1,0,none,none,2025-01-08T08:10:00Z,,0
S000092,train,1,0,none,none,2025-01-08T08:20:00Z,,0
S000093,train,1,0,none,none,2025-01-08T08:30:00Z,,0
S000094,train,1,0,none,none,2025-01-08T08:40:00Z,,0
S000095,train,1,0,none,none,2025-01-08T08:50:00Z,,0
S000096,train,1,0,none,none,2025-01-08T09:00:00Z,1,1
S000097,train,1,0,none,none,2025-01-08T09:10:00Z,,0
S000098,train,1,0,none,none,2025-01-08T09:20:00Z,,0
S000099,train,1,0,none,none,2025-01-08T09:30:00Z,,0
S000100,train,1,0,none,none,2025-01-08T09:40:00Z,,0
S000101,train,1,0,none,none,2025-01-08T09:50:00Z,,0
S000102,train,1,0,none,none,2025-01-08T10:00:00Z,1,1
S000103,train,1,0,none,none,2025-01-08T10:10:00Z,,0
S000104,train,1,0,none,none,2025-01-08T10:20:00Z,1,1
S000105,train,1,0,none,none,2025-01-08T10:30:00Z,,0
S000106,train,1,0,none,none,2025-01-08T10:40:00Z,1,1
S000107,train,1,0,none,none,2025-01-08T10:50:00Z,,0
S000108,train,1,0,none,none,2025-01-08T11:00:00Z,,0
S000109,train,1,0,none,none,2025-01-08T11:10:00Z,1,1
S000110,train,1,0,none,none,2025-01-08T11:20:00Z,,0
S000111,train,0,1,underfill_void,molding,2025-01-08T11:30:00Z,,0
S000112,train,1,0,none,none,2025-01-08T11:40:00Z,,0
S000113,train,1,0,none,none,2025-01-08T11:50:00Z,,0
S000114,train,1,0,none,none,2025-01-08T12:00:00Z,,0
