stack_id,lot_id,split,stack_layer_count,capacity_gb,assembly_tool_id,feature_available_time_utc,stack_height_um,inter_die_gap_mean_um,max_alignment_offset_um,cumulative_die_shift_um,emc_viscosity_pa_s,molding_pressure_mpa,molding_vacuum_absolute_kpa,reflow_peak_temperature_c,time_above_liquidus_sec,heating_rate_c_sec,cure_temperature_c,cure_duration_min,underfill_void_pct,delamination_area_pct,package_warpage_um,stacks_since_tool_service,core_thickness_mean_um,core_thickness_std_um,core_warpage_max_um,core_ttv_mean_um,core_leakage_mean_ua,core_repair_count_sum,core_particle_count_sum,core_tsv_resistance_mean_mohm,core_tsv_resistance_max_mohm,core_bump_coplanarity_max_um,n_source_wafers,n_dies_with_detailed_metrology,sampled_core_tsv_void_mean_pct,sampled_core_cd_mean_nm,base_leakage_current_ua,base_die_thickness_um,final_test_fail
S000001,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T03:40:00Z,610.20148,13.009947,0.59623402,0.8526685,10.20985,7.1906723,3.5266944,247.23043,61.377255,1.4803325,175.71536,62.945714,0.36436252,0.18275617,14.717575,0,31.132728,0.26600556,1.4275982,0.91385859,0.76150464,20,11,30.240573,32.211788,0.6723862,9,0,,,1.094204,50.717995,0
S000002,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T03:50:00Z,610.89126,13.023744,0.48622537,0.8739333,10.445678,7.0749608,2.4428697,243.12814,58.169915,1.3855267,172.94287,60.291746,0.24916834,0.18423339,12.633019,1,31.227361,0.28850687,1.4889697,0.89064186,0.80117725,11,10,29.896636,32.770351,0.70978369,9,4,0.31976755,24.12641,1.6048788,49.981117,0
S000003,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T04:00:00Z,611.61812,13.073444,0.37719,0.89171039,10.454933,6.8677597,3.5905422,248.29454,57.396128,1.532564,173.29201,55.864141,0.34490896,0.095871969,10.675453,2,31.165528,0.25019873,1.4271716,0.9512695,0.83985286,10,9,30.07627,31.681766,0.635676,11,4,0.22216108,24.005473,0.78348051,50.170156,0
S000004,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T04:10:00Z,608.18121,12.928838,0.46204726,0.62621414,10.105566,7.2228659,2.4317893,241.26409,57.947618,1.6127338,175.87272,56.874372,0.18480658,0.049011254,12.545134,3,31.163164,0.36876638,1.3442005,0.83878592,0.80493355,14,5,29.470403,31.133309,0.73129653,10,4,0.31621698,24.07465,1.0234148,49.546259,0
S000005,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T04:20:00Z,610.30842,12.946618,0.68124208,0.68971149,8.4405055,6.9847258,2.1508987,241.79721,56.7771,1.6321466,176.51936,60.128581,0.11423864,0.20950127,12.250372,4,31.242974,0.37569576,1.5830691,0.89057073,0.79694846,19,8,30.161236,31.343551,0.72841364,10,2,0.27217813,24.121013,1.1431398,49.990819,0
S000006,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T04:30:00Z,611.19412,13.158243,0.4807999,0.71847242,9.7662763,7.0247881,2.7860029,245.0809,58.248915,1.5498129,175.18846,59.663598,0.23833233,0.043146113,12.664992,5,31.121896,0.25475431,1.4018845,0.83339003,0.787558,16,7,29.595346,32.238271,0.75871761,11,1,0.77051216,24.022473,1.1800604,49.568417,0
S000007,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T04:40:00Z,610.58927,12.985941,0.64041167,1.016609,12.44667,7.1561222,2.838005,247.57203,53.358598,1.434914,175.36299,60.590532,0.57547373,0.16606209,14.300196,6,31.154027,0.29277088,1.4356918,0.95403984,0.73101321,18,4,29.886704,31.119505,0.66117407,11,5,0.29880383,23.937824,1.1383393,50.180123,0
S000008,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T04:50:00Z,609.41521,12.968961,0.48110528,1.5135841,9.8523867,6.6080704,2.6103581,241.98187,57.57091,1.4473498,175.83953,62.834372,0.19254547,0.15780299,15.321653,7,31.120791,0.46823278,1.593597,0.91654307,0.7848996,12,9,29.919226,31.720246,0.7708232,11,2,0.2835227,24.022803,1.1365701,50.402431,0
S000009,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T05:00:00Z,609.80844,13.010132,0.45873028,1.8302779,9.6029616,7.5317937,3.742479,247.0504,55.671723,1.5194106,177.17218,59.775139,0.37561677,0.098151848,16.254779,8,31.200197,0.31263564,1.4727204,1.002174,0.73786381,10,9,30.718163,32.321238,0.67836354,10,2,0.32548767,23.894858,1.4739247,49.517338,0
S000010,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T05:10:00Z,609.74315,12.916011,0.53565212,1.4253822,9.3055696,7.2137672,2.4280025,249.00486,61.257566,1.5494004,174.15238,58.629459,0.14525189,0.07595558,12.583913,9,31.220925,0.29845056,1.3824759,0.86381574,0.7771751,14,6,30.399996,32.47237,0.70587372,11,1,0.26981887,24.282146,1.1999938,50.208987,0
