die_id,latent_die_stress,latent_cell_fault,latent_tsv_open_fault,latent_tsv_short_fault,latent_local_cluster,actual_tsv_copper_void_pct,actual_tsv_diameter_um,actual_tsv_etched_depth_um,actual_critical_dimension_nm,actual_film_thickness_nm
D0000001,0.14500598,0,0,0,0,0.1110199,4.9906913,65.085153,23.71558,40.633814
D0000002,0.34565721,0,0,0,0,0.21616341,4.9970002,64.756958,23.819125,39.440199
D0000003,0.14226445,0,0,0,0,0.35886602,4.9696439,64.130068,23.94769,39.897405
D0000004,0.25865902,0,0,0,0,0.17360989,5.0395622,64.615186,23.774737,39.541073
D0000005,0.015197812,0,0,0,0,0.3072387,4.9674426,65.406843,23.823843,39.687027
D0000006,-0.10573018,0,0,0,0,0.2237014,5.1845426,64.136117,23.751418,39.683686
D0000007,-0.098642674,0,0,0,0,0.10719127,5.0520986,64.737083,23.506779,39.535843
D0000008,0.26330575,0,0,0,0,0.2756768,4.9870606,65.448613,23.963235,40.059136
D0000009,-0.96736764,0,0,0,0,0.15597829,4.9721327,65.108681,23.457045,40.514262
D0000010,-0.24381403,0,0,0,0,0.19066177,4.9013906,64.851919,23.619273,39.794113
D0000011,-0.015988868,0,0,0,0,0.22268011,5.0591278,64.698903,23.847526,39.898599
D0000012,0.53480158,0,0,0,0,0.18518944,5.0073333,64.325716,23.882425,39.899858
D0000013,-0.39207351,0,0,0,0,0.30845978,5.080103,64.389871,23.540433,40.453467
D0000014,0.22648973,0,0,0,0,0.2375885,5.0604801,64.530284,23.682621,39.907855
D0000015,0.39304954,0,0,0,0,0.19512291,4.923361,64.519076,23.815102,40.676742
D0000016,-0.52019527,0,0,0,0,0.17548402,5.0430969,65.156084,23.712593,39.569911
D0000017,0.0017531089,0,0,0,0,0.13654924,4.9973,65.086301,23.677792,40.170811
D0000018,0.60066639,0,0,0,0,0.13898245,5.0214978,64.836709,23.984895,40.373861
D0000019,0.63185873,0,0,0,0,0.28179589,5.0875009,65.020531,24.019401,40.217979
D0000020,-0.033003597,0,0,0,0,0.19073372,5.0464623,64.792994,23.861423,39.964821
D0000021,0.2055722,0,0,0,0,0.1614825,4.9540279,64.874531,23.675231,40.13892
D0000022,0.4851084,0,0,0,0,0.23651271,5.1013468,64.831996,23.908724,39.798277
D0000023,0.16505265,0,0,0,0,0.18671766,5.0006193,64.608115,23.88499,40.013391
D0000024,0.37803124,0,0,0,0,0.15806795,5.0484343,65.130713,23.885537,39.967347
D0000025,0.040960006,0,0,0,0,0.21726063,5.0141788,64.048345,23.338832,40.019231
D0000026,0.65842267,0,0,0,0,0.54877777,4.99623,64.802058,23.630195,40.167079
D0000027,0.15479564,0,0,0,0,0.18361744,5.0706421,65.159418,23.391144,40.072924
D0000028,0.021580958,0,0,0,0,0.17786157,4.9785929,64.906959,23.884334,40.495862
D0000029,-0.44055387,0,0,0,0,0.13542309,4.9980173,64.39708,23.575003,39.522785
D0000030,-0.097135257,0,0,0,0,0.22206952,4.9781809,64.264877,23.449877,39.35747
D0000031,0.11344255,0,0,0,0,0.096726375,5.0281464,65.359324,23.811579,40.136838
D0000032,0.47985125,0,0,0,0,0.18139944,5.0275616,64.122804,23.862673,39.347739
D0000033,0.85167492,0,0,0,0,0.40923187,4.9321108,65.208705,24.272124,41.139759
D0000034,0.15792325,0,0,0,0,0.47727535,4.9782746,65.038129,23.890449,40.882481
D0000035,1.2968964,0,0,0,0,0.35935432,4.9367476,65.165168,24.208375,40.472409
D0000036,0.39752636,0,0,0,0,0.64783011,4.8641335,64.678922,23.901755,40.596698
D0000037,1.0384447,0,1,0,0,0.47360508,5.1238122,64.51987,24.41253,41.101467
D0000038,0.95897832,0,0,0,0,0.55620196,5.1529857,64.761203,24.38993,40.870702
D0000039,0.46023419,0,0,0,0,0.3978337,4.9360045,65.391328,23.844549,40.089415
D0000040,1.2542621,0,0,0,0,0.60739318,5.023866,64.449094,24.154535,40.962242
D0000041,0.48522199,0,0,0,0,0.45520617,5.0109707,65.189979,24.183271,41.029452
D0000042,0.70907213,0,0,0,0,0.6554739,4.9747372,64.825761,24.380396,41.380204
D0000043,-0.042660255,0,0,0,0,0.77260177,4.9971995,64.941008,23.851665,41.056002
D0000044,1.0018369,0,0,0,0,0.75801729,4.982531,64.486302,24.38961,40.913135
D0000045,0.35709834,0,0,0,0,0.29416792,4.9937658,64.81212,24.145109,40.749434
D0000046,0.91082499,0,0,0,0,0.55364008,5.086419,64.966667,24.388883,41.168011
D0000047,1.1272863,0,0,0,0,0.45608612,5.0394462,64.512237,24.521984,40.632734
D0000048,0.48945211,0,0,0,0,0.37102404,4.949548,65.206171,24.31935,40.659237
D0000049,0.95228703,0,0,0,0,0.30001517,5.1131102,65.759021,24.350411,40.676107
D0000050,0.31657953,0,0,0,0,0.44003664,5.0519318,65.192141,24.242199,41.228361
D0000051,0.47687545,1,0,0,0,0.5398364,5.126136,65.399073,24.359229,40.771714
D0000052,0.9643506,0,0,0,0,0.59292744,4.986822,64.960827,24.429801,40.468383
D0000053,0.48617576,0,0,0,0,0.39811831,5.0305782,65.380604,24.074134,40.829861
D0000054,1.402772,0,0,0,0,1.0531768,5.0236982,65.757925,24.335106,40.264156
D0000055,0.7875033,0,0,0,0,0.59214334,5.0552886,64.678144,24.231625,41.072734
D0000056,1.2439841,0,0,0,0,0.36149975,5.0522528,64.485818,24.303924,41.533181
D0000057,0.13486307,0,0,0,0,0.35870699,5.1340846,65.010263,24.156133,40.431451
D0000058,0.5440391,0,0,0,0,0.7966763,5.0616964,64.546396,24.216084,41.290891
D0000059,0.96407101,0,0,0,0,0.91043722,5.1602463,65.304942,24.13183,40.891788
D0000060,1.0490077,0,0,0,0,0.76649481,5.0597401,64.756068,24.618896,40.33243
