stack_id,latent_inherited_cell_faults,latent_inherited_tsv_faults,latent_assembly_state,p_dram_electrical,p_tsv_open_short,p_microbump_open_bridge,p_die_crack,p_warpage,p_underfill_void,p_delamination,fault_dram_electrical,fault_tsv_open_short,fault_microbump_open_bridge,fault_die_crack,fault_warpage,fault_underfill_void,fault_delamination,p_reliability_failure
S000001,0,0,0.58697313,0.0051960048,0.0045228566,0.0095294593,0.0027483043,0.019639531,0.013829572,0.0052386361,0,0,0,0,0,0,0,0.063393086
S000002,0,0,-0.098838414,0.0048780999,0.0048040734,0.0057981022,0.0025198635,0.010176617,0.011528579,0.0047428686,0,0,0,0,0,0,0,0.027830099
S000003,0,0,0.88776941,0.0048350426,0.0038276728,0.0082483292,0.0028502883,0.0054653044,0.013411432,0.0046091563,0,0,0,0,0,0,0,0.018265915
S000004,0,0,0.26246753,0.0048773856,0.0042773873,0.0073801256,0.0023417371,0.0098971988,0.010412209,0.0038240746,0,0,0,0,0,0,0,0.023584706
S000005,0,0,-0.35216089,0.0050534869,0.0040415422,0.0068756132,0.0027838238,0.0090143619,0.0093108707,0.0048024188,0,0,0,0,0,0,0,0.02084893
S000006,0,0,-0.042308693,0.0047702013,0.0045331483,0.0052141188,0.0023791801,0.010280197,0.011332669,0.0036113559,0,0,0,0,0,0,0,0.026547655
S000007,0,0,0.60054097,0.0051905384,0.0046127271,0.0091550384,0.0027875401,0.017226375,0.019279559,0.0050777584,0,0,0,0,0,0,0,0.078632914
S000008,0,0,-0.085270575,0.0048300353,0.0042480305,0.0061854535,0.0028126447,0.023728332,0.010540569,0.0045088926,0,0,0,0,0,0,0,0.054879861
S000009,0,0,0.90133725,0.0049847624,0.0043712241,0.0079662696,0.0031274645,0.031723172,0.014077317,0.0046395123,0,0,0,0,0,0,0,0.093114023
S000010,0,0,0.27603537,0.0050100506,0.0049422155,0.0088927277,0.0024005544,0.010019541,0.0097799098,0.0040431351,0,0,0,0,0,0,0,0.022437008
S000011,0,0,-0.33859305,0.0050454452,0.0048384154,0.0052409054,0.0030042566,0.013561948,0.01033317,0.0040865018,0,0,0,0,1,0,0,0.03260327
S000012,0,0,-0.028740854,0.0051314209,0.0051670013,0.0067367144,0.0024648988,0.011645798,0.010985874,0.0037952228,0,0,0,0,0,0,0,0.02942034
S000013,0,0,0.61410881,0.0048523121,0.0045880882,0.011657383,0.002841425,0.027054539,0.011441604,0.0047248139,0,0,0,0,0,0,0,0.070927338
S000014,0,0,-0.071702736,0.0049242743,0.0045259026,0.0056733182,0.0023928959,0.021485067,0.012477129,0.0036108308,0,0,0,0,0,0,0,0.059477834
S000015,0,0,0.91490509,0.0049573317,0.0042449292,0.010090909,0.0036455572,0.037237559,0.012299143,0.0055966604,0,0,0,0,0,0,0,0.097595398
S000016,0,0,0.28960321,0.004973389,0.0048213583,0.0086862385,0.002479669,0.0064416413,0.013086753,0.0045284479,0,0,0,0,0,0,0,0.020322179
S000017,0,0,-0.32502521,0.0051535535,0.0043925111,0.0056978488,0.0023306407,0.0091256238,0.0091971933,0.0035548495,0,0,0,0,0,0,0,0.019293514
S000018,0,0,-0.015173014,0.0047920643,0.0044545235,0.0074835452,0.0022517656,0.016775693,0.013911206,0.0046000701,0,0,0,0,0,0,0,0.055177521
S000019,0,0,0.62767665,0.0052172081,0.0046031198,0.0087350668,0.0027821398,0.012478401,0.011315617,0.004546887,0,0,0,0,0,0,0,0.032229273
S000020,0,0,-0.058134897,0.0050043283,0.0053501811,0.0065274909,0.0024373578,0.010813106,0.011119015,0.0039075598,0,0,0,0,0,0,0,0.028509528
S000021,0,0,0.92847293,0.0049176326,0.0048449391,0.014592692,0.0027047285,0.046100878,0.013247792,0.0071049373,0,0,0,0,0,0,0,0.12433294
S000022,0,0,0.30317105,0.0047518396,0.0042488103,0.01030862,0.0031962719,0.01130627,0.012829215,0.0042426563,0,0,0,0,0,0,0,0.035949807
S000023,0,0,-0.31145737,0.0051703902,0.0047973779,0.0048824265,0.0025799166,0.0046763642,0.011799652,0.0037394883,0,0,0,0,0,0,0,0.014146057
S000024,0,0,-0.0016051752,0.0049179254,0.004534904,0.005817614,0.0024056929,0.0072161309,0.010092165,0.0037646224,0,0,0,0,0,0,0,0.017177748
S000025,0,0,0.64124449,0.0049583961,0.004413141,0.0081369908,0.0029067277,0.0083885343,0.011326721,0.0051043416,0,0,0,0,0,0,0,0.022393206
S000026,0,0,-0.044567057,0.0052038448,0.0042415211,0.0051236153,0.002669821,0.010654322,0.010141495,0.0038496794,0,0,0,0,0,0,0,0.024308081
S000027,0,0,0.94204077,0.0051701351,0.0042631295,0.0099088287,0.0025352021,0.01661459,0.02764649,0.01422454,0,0,0,0,0,0,0,0.1168919
S000028,0,0,0.31673889,0.0049153623,0.0047292633,0.0077599394,0.0021505758,0.022058223,0.010066456,0.0042332186,0,0,0,0,0,0,0,0.047374577
S000029,0,0,-0.29788953,0.0048908624,0.0046019257,0.0039813873,0.0023182316,0.011361125,0.0097124667,0.0034895635,0,0,0,0,0,0,0,0.024951624
S000030,0,0,0.011962664,0.0048781068,0.0044688545,0.0057966731,0.002437216,0.0065179005,0.01804299,0.0045739321,0,0,0,0,0,0,0,0.030407657
S000031,0,0,0.65481233,0.0047154461,0.0043566626,0.013162509,0.0029330948,0.0083721325,0.013884172,0.0040372798,0,0,0,0,0,0,0,0.029648109
S000032,0,0,-0.030999218,0.0051062414,0.004653875,0.007271419,0.0021357213,0.021581164,0.013966599,0.004545363,0,0,0,0,0,0,0,0.070877162
S000033,0,0,0.95560861,0.0050917234,0.0043182055,0.0087794353,0.0032548686,0.029904718,0.014458391,0.0068947925,0,0,0,0,0,1,0,0.097489022
S000034,0,0,0.33030673,0.0049514705,0.0041856905,0.0056117299,0.0024379134,0.016899688,0.011072389,0.0038749999,0,0,0,0,0,0,0,0.043578608
S000035,0,0,-0.28432169,0.0054217052,0.0045369217,0.004635088,0.002679902,0.0097853424,0.010090989,0.0047196637,0,0,0,0,0,0,0,0.022661683
S000036,0,0,0.025530503,0.0051857543,0.004322094,0.0076011432,0.0022520999,0.0078918614,0.013210475,0.0040732272,0,0,0,0,0,0,0,0.025790405
S000037,0,0,0.66838017,0.0050304086,0.0045204104,0.009817255,0.0029436081,0.027491125,0.017910627,0.0074277013,0,0,0,0,0,0,0,0.10538874
S000038,0,0,-0.017431379,0.0048335443,0.0043367566,0.005023483,0.0024761098,0.012421174,0.014949566,0.0038901399,0,0,0,0,0,0,0,0.044937571
S000039,0,0,0.96917645,0.0047011671,0.0040625247,0.01041852,0.0026727491,0.010059483,0.01186787,0.0048660213,0,0,0,0,0,0,0,0.027713316
S000040,0,0,0.34387456,0.0050539815,0.0041930778,0.0064204738,0.0022978362,0.011492648,0.019474835,0.0043392089,0,0,0,0,0,1,0,0.055632113
S000041,0,0,-0.27075385,0.0046407737,0.0042539002,0.0055476502,0.0029213368,0.011922537,0.0097166111,0.0038912686,0,0,0,0,0,0,0,0.026693964
S000042,0,0,0.039098342,0.0050076392,0.0047098418,0.0073372693,0.0021169426,0.0096899681,0.0099289847,0.0039670442,0,0,0,0,0,0,0,0.022536361
S000043,0,0,0.68194801,0.0051389686,0.0049077154,0.0094934781,0.0026996066,0.017054822,0.011549742,0.0046851409,0,0,0,0,0,0,0,0.046074655
S000044,0,0,-0.0038635399,0.0050443743,0.0044595877,0.0066798433,0.0024237114,0.01176652,0.010460599,0.0037987104,0,0,0,0,0,0,0,0.027584865
S000045,0,0,0.98274429,0.0051540834,0.0052031613,0.010767052,0.003506844,0.03373343,0.017197312,0.0097017374,0,0,0,0,0,0,0,0.1300641
S000046,0,0,0.3574424,0.0052085704,0.0046509928,0.0091710432,0.002310874,0.026257346,0.01003737,0.0047733536,0,0,0,0,0,0,0,0.058754824
S000047,0,0,-0.25718601,0.005263723,0.0049382708,0.0047728347,0.0025991097,0.010082337,0.0099842625,0.0050254126,0,0,0,0,0,0,0,0.023945939
S000048,0,0,0.052666182,0.0047958449,0.0046421099,0.0064446658,0.0025155657,0.009949113,0.01115153,0.0061490963,0,0,0,0,0,0,0,0.027235425
S000049,0,0,0.69551585,0.0051684716,0.0045315641,0.011364241,0.0028045571,0.014091652,0.011748041,0.0042715637,0,0,0,0,0,0,0,0.037219697
S000050,0,0,0.0097042993,0.0047838538,0.0047776023,0.0052007097,0.0029528539,0.010138485,0.0092891868,0.0038773604,0,0,0,0,0,0,0,0.02176843
S000051,0,0,0.99631213,0.0045702068,0.0044669202,0.0079320562,0.0033741574,0.019362177,0.016220383,0.0055576996,0,0,0,0,0,0,0,0.07091184
S000052,0,0,0.37101024,0.0048533846,0.0042405656,0.0072217776,0.0026778226,0.021188374,0.012165189,0.0040532045,0,0,0,0,0,0,0,0.057370068
S000053,0,0,-0.24361817,0.0044122908,0.0040742901,0.0043709207,0.0024505553,0.0077434568,0.0099153408,0.0039134438,0,0,0,0,0,0,0,0.01698977
S000054,0,0,0.066234021,0.0048311464,0.0041606561,0.0071022243,0.0022498325,0.015699829,0.011261933,0.0037159412,0,0,0,0,0,0,0,0.040183778
S000055,0,0,0.70908369,0.0048183577,0.0042832608,0.007390982,0.0027523166,0.010591255,0.025216846,0.0055260707,0,0,0,0,0,1,0,0.067631275
S000056,0,0,0.023272138,0.0052071254,0.0045613296,0.0062053129,0.0025447139,0.010832594,0.014683948,0.0044521305,0,1,0,0,0,0,0,0.039149013
S000057,0,0,1.00988,0.004626513,0.0045284128,0.012399294,0.0028172708,0.028698109,0.016711499,0.006892932,0,0,0,0,0,0,0,0.10971784
S000058,0,1,0.38457808,0.0047335342,0.1258886,0.0076201441,0.0025420277,0.022922485,0.013536833,0.0039809862,0,1,0,0,0,0,0,0.069109658
S000059,0,0,-0.23005033,0.0049857301,0.0044761691,0.0049946298,0.0022855149,0.015868064,0.011012426,0.0040293724,0,0,0,0,0,1,0,0.038826713
S000060,0,0,0.07980186,0.0052079077,0.0045243966,0.0057811671,0.0023367011,0.014787702,0.014401997,0.0048391383,0,0,0,0,0,0,0,0.050249809
S000061,0,0,0.72265152,0.0049185738,0.0042362402,0.010181818,0.0026648915,0.053964748,0.012389722,0.0059612777,0,0,0,0,0,0,0,0.13672676
